COMID,lengthKM,Tidal,SLOPE,width_bkfl_m,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CANADSKEL_,CANADSKEL1,UID_V6,F_CODE,HYC,VTR,YSS,LAKEUID,NAME_EN,NOM_FR,CGNDB_EN,CGNDB_FR,CGNS_FID,DATE_E,coast,outlet
3702030,6.034584244,0,0,132.9020105,370203,370018,2,2,0.06641,374306,33121,18482112,VT001,0,1,0,5603262, , , , , ,2003,0,0
3702040,23.37598037,0,0,53.23567263,370204,369604,228,311,0.28215,374307,20172,7148112,BH140,8,0,0,0,Victoria River,Victoria River,AAWMX,AAWMX,0c0cc4d3849c20c3eda178af67adbe05,2003,0,0
3702050,2.837532921,0,0,1.191672469,370205,370188,331,331,0.03724,374308,31459,17400112,BH140,8,0,0,0, , , , , ,2003,0,0
3701320,12.76752689,0,0,6.546104353,370132,370099,218,218,0.17192,374309,31954,17745112,BH140,8,0,0,0, , , , , ,2003,0,0
3702060,0.320675075,0,0,0.193613665,370206,370188,331,331,0.00322,374310,31447,17391112,BH140,8,0,0,0, , , , , ,2003,0,0
3701980,0.193862192,0,0,0.318007043,370198,370207,331,331,0.00184,374311,31573,17484112,VT001,0,1,0,5434262, , , , , ,2003,0,0
3701790,11.05096403,0,0,14.15455417,370179,370209,2,2,0.1269,374314,34264,19020112,BH140,8,0,0,0, , , , , ,2003,0,0
3702100,12.55119327,0,0,4.115140051,370210,370141,222,222,0.15876,374315,14871,3032112,BH140,8,0,0,0, , , , , ,2003,0,1
3702110,8.547564911,0,0,2.987592119,370211,370212,218,218,0.10068,374316,32449,18088112,BH140,8,0,0,0, , , , , ,2003,0,0
3702130,13.9812905,0,0,108.8568377,370213,369956,300,186,0.17104,374317,30468,16653112,BH140,8,0,0,0,Rivière Mitis,Rivière Mitis,EHHCE,EHHCE,1a739fd7be3c11d892e2080020a0f4c9,2003,0,0
3702150,14.74202858,0,0,4.705687962,370215,369934,222,222,0.18335,374319,16532,4173112,BH140,8,0,0,0,Triton Brook,Triton Brook,AAUBT,AAUBT,0c0ba27f849c20c38e6abd5c3c2f6483,2003,0,0
3702170,0.594862509,0,0,0.32404617,370217,370216,2,2,0.00719,374320,33805,18804112,BH140,8,0,0,0, , , , , ,2003,0,0
3702180,5.513290409,0,0,2.072987188,370218,370069,222,222,0.06565,374321,13714,2289112,BH140,8,0,0,0, , , , , ,2003,0,1
3701850,0.718818921,0,0,102.1902301,370185,370219,218,218,0.00717,374322,32485,18112112,VT001,0,1,0,5590262, , , , , ,2003,0,0
3701530,2.595610725,0,0,4.836866673,370153,370220,222,311,0.03343,374323,19991,6982112,VT001,0,1,0,2227262, , , , , ,2003,0,0
3702200,7.382113943,0,0,8.603396675,370220,370204,222,311,0.10406,374324,20171,7147112,BH140,8,0,0,0, , , , , ,2003,0,0
3701450,2.856004981,0,0,136.8246681,370145,370221,331,218,0.03648,374325,31603,17506112,BH140,8,0,0,0,Rivière des Escoumins,Rivière des Escoumins,EGHKS,EGHKS,91865127be1111d892e2080020a0f4c9,2003,0,0
3701775,1.014808734,0,0,3.187990964,370177,370222,218,331,0.01056,374326,31438,17385112,BH140,8,0,0,0, , , , , ,2003,0,0
3701350,2.865882801,0,0,5.371513775,370135,370224,2,2,0.03278,374329,33902,18853112,VT001,0,1,0,5803262, , , , , ,2003,0,0
3702250,19.97000519,0,0,6.060324368,370225,370226,218,218,0.22873,374330,32499,38930112,BH140,8,0,0,0, , , , , ,20080428,0,0
3702270,13.69428581,0,0,4.425233975,370227,370016,2,2,0.16694,374331,32819,18329112,BH140,8,0,0,0, , , , , ,2003,0,0
3701940,2.129509753,0,0,3.58792397,370194,370229,186,186,0.02718,374333,30467,16654112,BH140,8,0,0,0, , , , , ,2003,0,0
3702290,0.200894369,0,0,106.2652495,370229,370213,300,186,0.0023,374334,30468,16655112,BH140,8,0,0,0,Rivière Mitis,Rivière Mitis,EHHCE,EHHCE,1a739fd7be3c11d892e2080020a0f4c9,2003,0,0
3702320,7.227240729,0,0,73.2344464,370232,370055,222,222,0.09207,374336,17756,5079112,BH140,8,0,0,0,Northwest Gander River,Northwest Gander River,AAPZI,AAPZI,0c15a785849c20c34a06c96c5e12c9dc,2003,0,0
3702330,14.20289687,0,0,4.561806215,370233,370232,222,222,0.17471,374337,17757,5080112,BH140,8,0,0,0, , , , , ,2003,0,0
3702340,3.188799267,0,0,1.313420874,370234,370235,188,188,0.03501,374338,34701,19242112,BH140,8,0,0,0, , , , , ,2003,0,0
3702370,7.54844258,0,0,2.693548281,370237,370076,222,222,0.09206,374340,17292,4732112,BH140,8,0,0,0, , , , , ,2003,0,0
3702070,1.410145567,0,0,0.958653989,370207,370239,331,331,0.01924,374342,31589,17494112,VT001,0,1,0,5434262, , , , , ,2003,0,0
3702220,0.429325672,0,0,4.15950803,370222,370240,218,331,0.00515,374343,31445,17390112,VT001,0,1,0,5397262, , , , , ,2003,0,0
3702390,1.982373868,0,0,2.093282677,370239,370221,331,331,0.02788,374345,31602,17505112,BH140,8,0,0,0, , , , , ,2003,0,0
3701780,10.65298194,0,0,52.89178485,370178,370025,188,188,0.12474,374347,34750,19267112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3702430,0.905681045,0,0,32746.52918,370243,370219,218,2,0.01234,374348,32495,38929112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3702260,0.643855741,0,0,0.864841456,370226,370243,218,218,0.0087,374349,32494,38928112,VT001,0,1,0,5590262, , , , , ,20080428,0,0
3702450,14.34271066,0,0,54.94269338,370245,370007,300,300,0.18142,374351,30665,16792112,BH140,8,0,0,0,Rivière Neigette,Rivière Neigette,EHJTH,EHJTH,8cd0c9f8be3f11d892e2080020a0f4c9,2003,0,0
3702460,19.90331018,0,0,6.043449611,370246,370247,218,218,0.21924,374352,32577,38933112,BH140,8,0,0,0, , , , , ,20080428,0,0
3702480,11.76483011,0,0,3.899094905,370248,370028,222,222,0.1439,374353,13279,2067112,BH140,8,0,0,0, , , , , ,2003,0,1
3702490,0.649350571,0,0,102.2135815,370249,370229,300,186,0.0075,374354,30498,16658112,BH140,8,0,0,0,Rivière Mitis,Rivière Mitis,EHHCE,EHHCE,1a739fd7be3c11d892e2080020a0f4c9,2003,0,0
3702470,0.325394042,0,0,0.489671269,370247,370250,218,218,0.00414,374355,32584,38935112,VT001,0,1,0,5590262, , , , , ,20080428,0,0
3702350,1.478250609,0,0,1.729004955,370235,370251,188,188,0.01947,374356,34719,19251112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3702510,2.182909808,0,0,46.79427275,370251,370178,188,188,0.02557,374357,34720,19252112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3702520,1.968218143,0,0,126.2473768,370252,370203,2,2,0.02556,374358,33160,18502112,VT001,0,1,0,5603262, , , , , ,2003,0,0
3702550,0.940347383,0,0,67.10105953,370255,370232,222,222,0.01205,374360,17818,5126112,BH140,8,0,0,0,Northwest Gander River,Northwest Gander River,AAPZI,AAPZI,0c15a785849c20c34a06c96c5e12c9dc,2003,0,0
3702210,0.921526105,0,0,145.2885382,370221,370258,331,218,0.01015,374363,31615,17514112,BH140,8,0,0,0,Rivière des Escoumins,Rivière des Escoumins,EGHKS,EGHKS,91865127be1111d892e2080020a0f4c9,2003,0,0
3701910,1.48315448,0,0,5.495064286,370191,370259,228,228,0.01515,374364,21152,8070112,VT001,0,1,0,2624262, , , , , ,2003,0,0
3701420,5.259458254,0,0,30282.59522,370142,370260,182,2,0.06932,374365,32650,38944112,VT001,0,1,0,5616262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3701660,2.798445529,0,0,5.125279401,370166,370263,2,2,0.03236,374367,33504,18651112,BH140,8,0,0,0, , , , , ,2003,0,0
3702660,2.807768599,0,0,13.51297959,370266,370147,2,2,0.02941,374369,33766,18790112,BH140,8,0,0,0, , , , , ,2003,0,0
3702400,0.913937168,0,0,4.7518321,370240,370267,218,331,0.01023,374370,31452,17394112,VT001,0,1,0,5397262, , , , , ,2003,0,0
3702680,6.380422346,0,0,59.08709883,370268,370269,228,228,0.0882,374371,22438,9252112,BH140,8,0,0,0,Little Barachois Brook,Little Barachois Brook,AAMFH,AAMFH,0c131e88849c20c34a343b07585ecca6,2003,0,0
3702700,3.297391771,0,0,2.1352244,370270,370203,2,2,0.04036,374372,33136,18489112,VT001,0,1,0,5603262, , , , , ,2003,0,0
3702720,13.31049376,0,0,26.93329254,370272,369875,188,188,0.1481,374374,34634,19202112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3702590,0.784965616,0,0,6.815381115,370259,370273,228,228,0.01086,374375,21151,8069112,BH140,8,0,0,0, , , , , ,2003,0,0
3702760,7.980875421,0,0,2.821563162,370276,370277,222,222,0.09087,374378,19141,6192112,BH140,8,0,0,0, , , , , ,2003,0,0
3702160,2.998669415,0,0,3.11767761,370216,370279,2,2,0.03618,374381,33867,18840112,VT001,0,1,0,5785262, , , , , ,2003,0,0
3702800,2.278044775,0,0,0.992336118,370280,370281,222,222,0.03062,374382,19577,6591112,BH140,8,0,0,0, , , , , ,2003,0,0
3701510,3.813700003,0,0,785.6760373,370151,370282,218,182,0.04581,374383,32618,38978112,BH140,8,0,0,0,Rivière Shipshaw,Rivière Shipshaw,EIDIZ,EIDIZ,a3ee599dbe4f11d892e2080020a0f4c9,20080428,0,0
3702850,1.380344808,0,0,31325.87384,370285,370250,218,334,0.01788,374386,32628,38937112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3702600,0.622529585,0,0,30676.05584,370260,370286,182,2,0.00738,374387,32673,38984112,BH140,8,0,0,0,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3700590,5.924708287,0,0,8.418603939,370059,370287,2,2,0.06064,374388,33526,18661112,BH140,8,0,0,0, , , , , ,2003,0,0
3702880,5.818746767,0,0,2.16828323,370288,370289,218,218,0.07741,374390,31674,17552112,BH140,8,0,0,0, , , , , ,2003,0,0
3702900,0.938919851,0,0,123.7697959,370290,370252,2,2,0.01039,374391,33179,18512112,BH140,8,0,0,0,Rivière Ouiatchouan,Rivière Ouiatchouan,ELAIM,ELAIM,0ccdd582849c20c39c57d8b1113fa2ae,2003,0,0
3702920,0.166026066,0,0,31312.9408,370292,370285,218,334,0.00219,374393,32628,38938112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3702820,0.214047786,0,0,810.0783796,370282,370292,218,182,0.00211,374394,32629,38939112,VT001,0,1,0,5590262, , , , , ,20080428,0,0
3702890,2.044032837,0,0,14.50373658,370289,370258,218,218,0.0279,374395,31656,17538112,BH140,8,0,0,0, , , , , ,2003,0,0
3702930,2.230709291,0,0,56.59827017,370293,370255,222,222,0.03065,374396,17903,5200112,BH140,8,0,0,0,Northwest Gander River,Northwest Gander River,AAPZI,AAPZI,0c15a785849c20c34a06c96c5e12c9dc,2003,0,0
3702940,10.89644383,0,0,3.657695317,370294,370293,222,222,0.14258,374397,17974,5257112,BH140,8,0,0,0, , , , , ,2003,0,0
3702960,0.603770021,0,0,0.819724012,370296,370270,2,2,0.00673,374399,33151,18495112,VT001,0,1,0,5603262, , , , , ,2003,0,0
