FROMCOMID,TOCOMID
16771210,16770822
16771208,16770394
16771206,166758418
16771204,16770392
16771202,16770810
16771202,16771204
16771200,16770384
16771198,16771200
16771198,16770792
16782650,16770808
16771216,16770824
16771216,16771214
16771196,16770788
16771194,16770788
16771192,16770780
16771190,16770780
16771186,16771194
16771184,16771194
16771182,16770354
16771180,16770758
16771180,16771182
16771146,16770786
16771146,16771154
16771144,16771184
16771142,16771144
16771140,16771184
16771138,16771140
16771136,16771140
16771134,16770760
16771132,16771176
16771132,16771180
16770802,16770804
16770796,16770844
16770792,16770796
16770788,16770794
16770788,16770802
16770784,16771198
16770762,16771134
16770780,16771146
16770878,16770880
16770882,16770880
16770880,16770446
16770872,16770876
16770874,16770876
16770876,16770412
16768754,16767618
27571234,27571238
27571236,27571238
27571238,16768754
27571232,16768754
166758418,16770824
166758418,16771214
166758421,166758419
10247817,10247825
10247805,10247811
10247811,10247817
10247799,10247805
10247043,10243813
10243813,10247773
10247787,10258189
10247773,10247787
10258189,10247777
10247777,10247887
10243873,10247043
10247759,10247763
10247743,10247747
10247743,10247745
10247763,10247771
10247763,10247765
10247771,10247887
10247747,10247759
10247587,10247593
10247627,10247637
10247637,10247639
10247637,10247643
10247605,10247613
10247635,10247619
10247635,10247621
10247583,10247587
10247583,10247585
10247639,10247635
10247593,10247597
10247593,10247595
10247603,10247605
10247603,10247607
10247617,10247627
10247597,10247603
10247613,10247617
10247467,10247471
10247459,10247465
10247465,10247467
10246983,10247755
10243035,10246983
10247755,10247769
10247769,10247775
0,10247847
10247847,10243035
10258193,10247825
10247819,10258193
10247807,10247819
10244181,10247807
10247797,10244181
10247803,10247797
10244107,10247803
10244071,10244107
0,10241645
10241645,10241649
10241731,10241799
10241649,10246635
10246635,10241731
0,10246735
10246735,10247659
10247659,10247687
10247689,10243381
10243381,10243401
0,10246503
10246503,10240875
0,10246507
10246507,10240711
0,10240777
10240777,10240875
0,10246537
10246537,10247869
0,10241535
10241535,10241769
10241641,10241769
10241721,27134217
0,10246605
10246605,10241921
10241769,10241921
10241819,27134209
10241921,10241971
10241971,10242061
10242061,10246713
10242063,10246713
10242957,10243047
0,10246717
10246717,10242957
10243391,10243393
0,10246715
10246715,10243391
10243569,27134203
0,10246709
10246709,10243569
0,10246589
10246589,10246607
0,10241591
10241591,10241659
10241659,10241865
0,10241879
10241879,10241955
10241989,10242055
933090056,10242687
0,933090057
933090057,933090056
0,10246729
10246729,10243117
0,10246725
10246725,10242677
0,10246719
10246719,10243053
0,10246727
10246727,10242677
0,10241349
10241349,27134277
0,10246761
10246761,10242741
0,10246555
10246555,27134247
0,10246593
10246593,27134249
0,10241475
10241475,10241527
0,10241469
10241469,10241527
10241527,10242339
10246687,10242495
0,10242765
10242765,10246769
10242489,10242325
10246769,10242489
0,10241189
10241189,10246587
10246587,10247873
10241919,10247877
10247877,27134255
0,10242083
10242083,10247881
10247881,10247875
0,10242955
10242955,10243047
0,10243399
10243399,10246997
0,10243397
10243397,10246997
0,10243749
10243749,10243819
0,10244409
10244409,10244247
10242677,10242819
0,10244331
10244331,10247055
0,10243903
10243903,10243593
10243937,10243681
0,10244125
10244125,10244069
0,10247857
10247857,10245973
10245973,10247853
10249845,10257999
10258003,10249843
10249841,10257997
10258001,10258003
10249843,10258007
10257999,10258001
10247855,10247853
10257997,10249845
10258005,10247855
10258007,10258005
10249849,10249839
10249835,10249837
10249837,10249849
10249833,10249835
10249839,10249841
10247853,16768960
10240367,10246517
10246517,10240775
10247337,10247839
10258167,10258163
10258163,10249847
10247839,10258167
0,10247849
10247849,10247337
10244907,10247829
10247829,10247835
0,10244977
10244977,10244907
10244909,10244907
0,10247227
10247227,10244909
10244293,10247809
10247809,10247819
0,10244319
10244319,10244293
0,10244435
10244435,10244293
10244061,10244071
0,10243847
10243847,10244061
10244077,10244107
0,10244101
10244101,10244077
0,10244073
10244073,10244077
10243831,10244057
10244057,10244179
10243819,10243831
10244179,10247813
10247813,10247817
10244045,10247801
10247801,10247805
10243997,10244045
10243869,10243997
10243869,10243905
0,10243671
10243671,10243869
10243905,10247085
10247085,10244045
10243719,10247795
10247795,10247799
10247781,10243719
10247791,10247793
0,10243717
10243717,10247791
10243695,10247891
10247891,10247783
10246997,10243695
10246997,10243693
0,10246945
10246945,10247757
10247757,10247763
10247739,10258187
10258187,10247743
10243047,10247897
10247897,10247739
10247897,10247895
0,10246621
10246621,10241637
10246919,10247737
10247737,10247741
10247705,10243111
10243111,10247713
10247713,10247735
10247715,10247717
10247719,10243133
10243133,10247715
10243309,10247673
10247673,10247675
10247681,10243309
10243333,10247657
10247653,10243333
10247657,10247685
0,10242817
10242817,10246887
10246887,10246893
10247649,10247651
10246893,10247649
10243251,10247623
10247623,10258185
10247619,10243251
10243077,10247569
10247565,10243077
10247569,10247571
10242909,10247561
10247557,10242909
10247561,10247563
10242821,10247553
10247549,10242821
10247553,10247555
10242803,10247545
10247539,10242803
10247545,10247547
10242495,10247473
10247473,10247475
10242279,10247457
0,10242013
10242013,10242279
10247457,10247465
0,10241821
10241821,10241997
10242019,10242023
10242023,10247445
10241997,10242019
10247445,10247449
0,10241915
10241915,10247441
10247441,10247443
10241907,10247427
10241895,10241907
10247427,10247429
0,10241905
10241905,10247421
10247421,10247435
10241903,10247411
10241845,10241857
0,10241829
10241829,10241845
10241857,10241903
10247411,10247419
10247419,10247423
0,10241771
10241771,10241773
10241785,10247403
10241773,10241785
10241911,10247893
10247893,10247409
10241923,10247405
10247405,10247879
10246579,10241621
10241679,10241909
10241909,10241919
10241909,10241911
10241909,10241923
10241621,10241679
0,10240963
10240963,10246579
10240965,10246579
0,10247843
10247843,10240965
10241943,10247433
10247433,10247431
10242319,10247455
10247455,10247453
10247453,10247459
0,10242313
10242313,10242319
10247451,10242321
10242229,10247463
10247461,10247467
10247463,10247461
0,10242249
10242249,10242229
0,10242281
10242281,10242229
10242627,10247481
10247477,10242627
10247481,10247483
10247485,10242659
10242659,10242667
10242737,10242747
10242747,10247497
10247493,10242737
10247497,10247499
10242775,10247505
10247503,10247507
10247505,10247503
0,10243017
10243017,10242775
10243017,10242771
10242771,10247511
10247511,10247509
10242767,10247521
10247519,10247517
10247521,10247519
10247515,10242767
10242783,10247525
10247523,10247527
10247525,10247523
0,10243013
10243013,10242783
10243013,10242793
10242793,10247531
10247531,10247529
10247529,10247535
10243197,10247577
10247577,10247579
10247573,10243197
10243499,10247581
10247581,10247583
10247589,10247593
10243301,10247591
10247585,10243301
10247591,10247589
10243341,10247601
10247599,10247603
10247595,10243341
10247601,10247599
10247611,10247609
10247609,10247613
10243353,10247611
10247607,10243353
0,10243375
10243375,10247615
10247615,10247617
10247633,10247631
10247631,10247637
0,10243373
10243373,10247633
10247643,10243383
10243383,10247645
10247645,10247635
10247625,10243329
10247641,10247647
10243329,10247641
10243401,10247701
10247701,10247693
10247677,10247665
10247679,10243315
10243315,10247677
10247671,10243255
10247667,10247661
10243255,10247667
10247697,10247699
10247703,10247725
10243249,10247703
10247699,10243249
0,10247049
10247049,10243435
10243435,10247731
10247731,10247733
0,10246979
10246979,10246929
10246929,10247729
10247729,10247727
10247727,10247723
10247745,10243627
10247749,10247759
10243627,10247749
10247779,10258189
10247765,10243803
10243803,10247779
10244099,10247043
0,10244355
10244355,10244099
10244355,10244097
10244097,10243873
10244285,10244317
0,10244359
10244359,10244299
10244299,10244285
10244221,10244317
0,10244103
10244103,10244221
10240875,10240983
10240983,10241271
10241271,27134231
0,10246501
10246501,10240413
10240413,10246511
0,10240357
10240357,10240367
0,10245895
10245895,10245885
10245885,10245761
10244069,10244015
10243593,10243499
10244015,10243937
10244247,10244099
10244247,10244097
10247761,10247767
10246957,10243557
10243393,10246957
10246607,10241637
10242265,10241979
0,10242287
10242287,10242265
10249847,10249833
10241191,10246587
10247865,10241191
10247867,10247865
10241601,10241603
10241603,10246631
10246631,10241729
10241729,10241799
0,10247845
10247845,10242215
10246511,10240711
0,10247859
10247859,10247863
10247409,10247415
10247415,10247417
10247413,10247417
10247875,27134255
10247879,10247875
10247407,10247879
10247417,10247423
10247423,10247435
10241799,10241895
10241799,10241813
10241529,10242339
10247429,10247431
10247437,10247429
10247439,10247443
10247443,10247449
10242325,10242319
10241669,10241865
10241637,10241989
10241637,10241669
10241955,10241983
10241865,10241955
10247471,10247475
10247479,10247483
10247483,10247485
10247483,10247487
10247475,10247477
10247475,10247479
10247487,10247491
10247491,10247493
10247491,10247495
10247495,10247499
10241983,10242055
10242055,10242113
10246759,10242741
10247507,10247509
10247535,10247537
10242687,10243117
10243117,10247707
10247707,10247709
10242819,10243053
10247651,10247653
10247651,10247655
10247655,10247685
10247685,10247689
10247685,10247691
10247691,10247693
10247735,10247741
10247709,10247705
10247709,10247711
10247711,10247735
10247663,10247661
10247675,10247679
10247675,10247669
10247693,10247681
10247693,10247683
10247695,10247725
10247665,10247671
10247665,10247663
10247661,10247687
10247725,10247733
10247669,10247665
10247683,10247675
10247687,10247697
10247687,10247695
10243053,10246919
10243697,10243681
10243681,10243401
10247887,10247885
10247885,10247767
10258191,10247789
10247783,10258191
10247793,10247799
10244215,10247055
10244449,10244463
10244437,10244449
10244425,10244437
10247827,10247835
10247835,10247837
10245761,10245639
10245639,10245491
10245491,10247831
10247833,10247837
10247831,10247833
10247741,10247743
10247527,10247535
10247435,10247437
10246891,10246919
10247895,10246891
10244317,10244425
10247837,10247841
10247841,10258165
10258165,10249847
10247825,10247827
10247789,10247793
10247767,10247775
10247775,10247785
10247785,10247789
10247055,10243873
10247721,10247717
10247717,10247709
10247723,10247719
10247723,10247721
10247733,10247723
10247647,10247651
10247621,10258185
10247629,10247647
10258185,10247625
10258185,10247629
10247517,10247527
10247513,10247517
10247509,10247515
10247509,10247513
10247499,10247507
10247449,10247459
10247431,10247439
10247401,10247407
10247901,10247401
10247861,10247901
10247863,10247861
10240711,10240775
10244063,10244071
0,10243571
10243571,10244063
10241813,10247425
10247425,10247439
10242339,10247469
10247469,10247471
0,10246733
10246733,10242687
0,10243707
10243707,10243713
10243715,10243697
10243713,10243715
10247869,10247867
10241979,10241943
0,10244623
10244623,10244463
0,10244453
10244453,10244215
0,10244447
10244447,10244215
0,10247061
10247061,10247085
10243693,10247889
10247889,10247783
10246943,10247751
10246713,10246943
10247751,10247761
10243557,10247753
10247753,10247761
10242679,10242819
10246723,10242679
10242113,10246723
0,10246581
10246581,10241383
10241383,10246607
10242741,10247533
10247533,10247537
10247873,10241601
10247403,10247409
10242323,10242325
10242321,10247883
10247883,10242323
10242215,10247447
10242259,10247451
10247447,10242259
10242667,10247489
10247489,10247491
10244463,10247815
10247815,10247811
10247823,10247827
10247821,10247823
0,10244813
10244813,10247821
0,10245667
10245667,10245639
27134203,10247781
0,27134207
27134207,10241819
27134209,10242063
27134217,10241641
0,27134215
27134215,10241721
0,27134223
27134223,10247571
10247571,10247573
10247571,10247575
10247575,10247579
10247579,10247583
10247555,10247557
10247555,10247559
10247543,10247547
10247551,10247555
10247537,10247539
10247537,10247543
10247559,10247563
10247547,10247549
10247547,10247551
10247563,10247565
10247563,10247567
10247567,10247571
27134231,27134233
27134239,10246687
27134233,27134239
27134247,27134249
27134249,10241529
27134255,10247413
0,27134259
27134259,10247413
10241187,27134271
10241101,10247871
10240775,10247397
10247397,10247399
10247871,10241187
10247399,10241101
0,27134267
27134267,27134271
27134271,27134275
27134275,27134279
27134277,27134279
27134279,27134287
27134287,27134291
27134291,10246759
0,933090053
933090053,933090054
933090054,933090055
933090055,933090056
16814897,16814927
16813755,16814873
16814863,16814875
16814875,16813755
16814857,16814859
16813891,16813929
16813869,16813871
16813923,16813869
16813937,16813923
0,16813935
16813935,16813937
16813745,16814851
16814769,16813745
16814769,16814775
16814855,16814857
16814851,16814855
16808917,16814763
16814763,16814769
16808607,16808917
16808579,16808607
16808505,16808579
16808519,16808485
16808485,16808505
16808525,16808519
16808203,16808223
16808267,16808311
16808223,16808205
16808409,16808481
16808229,16808253
16808205,16808229
16808187,16808203
16808311,16808403
16808403,16808409
16808253,16808267
16808481,16808525
16808099,16808301
16808089,16808099
16809543,16808089
16809693,16809543
16807673,16809485
16809485,16809859
16809859,16809689
16807575,16807673
16807501,16807575
16807501,16807503
16807489,16807491
0,16807477
16807477,16807489
16807477,16807483
16807477,16807487
16807955,16809699
16807969,16809701
16809699,16807969
16809701,16809705
16809701,16809867
16809801,16807975
16809505,16809801
16807871,16809505
16807871,16809499
16807883,16807871
16807721,16807883
16807691,16807721
16807691,16807723
16807599,16807623
16807569,16807599
16807555,16807561
16807561,16807569
16807553,16807555
16807535,16807553
16807527,16807535
16809477,16807527
16807459,16809477
16807455,16807459
16807453,16807455
16809647,16807453
16809645,16809647
16809457,16809645
16809449,16809457
16807121,26975290
16809427,16807121
16806961,16809795
16809795,16809427
0,16806917
16806917,16806961
16807563,16807569
16807499,16807563
16807463,16807499
16807463,16807473
16807363,16807463
16807223,16807363
16807219,16807223
16807169,16807219
16807141,16807169
16807139,16807141
16807139,16807149
16806805,16809873
16806761,16806805
16806727,16806761
16806715,16806727
16806699,16806715
16806669,16806699
16806637,16806669
16806521,16806637
16806507,16806521
16806475,16806507
16806455,16806475
16809297,16806455
16806417,16809297
16806413,16806417
