FNODE_,TNODE_
1995410,1995420
1995420,1995480
1995430,1995440
1995440,1995760
1995450,1995400
1995460,1995600
1995470,1995480
1995480,1995760
1995500,1995510
1995510,1995540
1995550,1995970
1995560,1995550
1995580,1995750
1995600,1995630
1995630,1995950
1995640,1995650
1995660,1995680
1995670,1995650
1995680,1995690
1995690,1995770
1995700,1995420
1995720,1995730
1995730,1995900
1995740,1995750
1995750,1995850
1995760,1995880
1995780,1995790
1995850,1995900
1995880,1995890
1995890,1995970
1995910,1995920
1995920,1996060
1995930,1995940
1995940,1995920
1995950,1996190
1995960,1995950
1995970,1996060
1995980,1995990
1995990,1996120
1996060,1996270
1996080,1996090
1996100,1995990
1996110,1996120
1996120,1996320
1996130,1996140
1996140,1996300
1996150,1996140
1996160,1995940
1996170,1996090
1996180,1996190
1996190,1996560
1996210,1996220
1996220,1996460
1996230,1996220
1996240,1996600
1996250,1996240
1996260,1996270
1996270,1996370
1996300,1996480
1996310,1996300
1996320,1996990
1996330,1996320
1996340,1996290
1996350,1996330
1996360,1996240
1996370,1996620
1996380,1996360
1996410,1996380
1996420,1996330
1996430,1996440
1996440,1996570
1996460,1997050
1996470,1996370
1996560,1996820
1996570,1996610
1996600,1997120
1996610,1996590
1996620,1996690
1996630,1996600
1996640,1996650
1996650,1996920
1996690,1996760
1996700,1996570
1996710,1996720
1996720,1996850
1996760,1996780
1996780,1996700
1996810,1996630
1996820,1997200
1996830,1996800
1996850,1996920
1996870,1996780
1996880,1996720
1996900,1996810
1996910,1996820
1996920,1996950
1996930,1996830
1996940,1996900
1996950,1997120
1996960,1996940
1996980,1996940
1996990,1997360
1997000,1996870
1997010,1996340
1997020,1996990
1997040,1997020
1997050,1997060
1997060,1997070
1997070,1997000
1997080,1997090
1997090,1997240
1997100,1997070
1997110,1996960
1997120,1997140
1997130,1996980
1997140,1997380
1997150,1996930
1997160,1997140
1997170,1997050
1997180,1997190
1997190,1997230
1997200,1997170
1997210,1997220
1997220,1997290
1997230,1997420
1997240,1997370
1997250,1997240
1997260,1997270
1997270,1997300
1997280,1997100
1997290,1997460
1997300,1997390
1997310,1996990
1997320,1997310
1997330,1997030
1997350,1997360
1997360,1997670
1997370,1997410
1997380,1997580
1997390,1997410
1997400,1997160
1997410,1997480
1997420,1997540
1997430,1997330
1997440,1996830
1997450,1996930
1997460,1998160
1997480,1997780
1997500,1997480
1997510,1997520
1997520,1997530
1997530,1997660
1997540,1997570
1997550,1997560
1997560,1997600
1997570,1997650
1997580,1997640
1997590,1997500
1997600,1997590
1997620,1997630
1997630,1997600
1997640,1997730
1997650,1997720
1997660,1997990
1997670,1997770
1997680,1997670
1997690,1997310
1997700,1997400
1997720,1997850
1997730,1997760
1997740,1997460
1997760,1997790
1997770,1997900
1997780,1997810
1997790,1997830
1997800,1997780
1997810,1997880
1997820,1997810
1997830,1997840
1997840,1997880
1997850,1998140
1997860,1997280
1997870,1997200
1997880,1998260
1997890,1997770
1997900,1997870
1997930,1997900
1997970,1997950
1997990,1998460
1998010,1997800
1998020,1997930
1998050,1997330
1998060,1998070
1998070,1998150
1998080,1998090
1998090,1997860
1998100,1998060
1998110,1997700
1998120,1998100
1998130,1997820
1998140,1998160
1998150,1998040
1998160,1998490
1998200,1997970
1998210,1998220
1998220,1998470
1998230,1998190
1998250,1998110
1998260,1998320
1998270,1998120
1998300,1998150
1998320,1998340
1998340,1998360
1998350,1998290
1998360,1998440
1998380,1998390
1998390,1997860
1998410,1998350
1998440,1998800
1998460,1998600
1998470,1998020
1998480,1998490
1998490,1998570
1998500,1998390
1998510,1998230
1998520,1998020
1998530,1998090
1998540,1998550
1998550,1998820
1998560,1998550
1998570,1998580
1998580,1998640
1998590,1998130
1998600,1998610
1998610,1998710
1998620,1998630
1998630,1999550
1998640,1999220
1998650,1998660
1998660,1998730
1998670,1998680
1998680,1998410
1998690,1998700
1998700,1998730
1998710,1998830
1998720,1998670
1998730,1998890
1998740,1998620
1998750,1998710
1998770,1998780
1998780,1998810
1998790,1998750
1998800,1999040
1998810,1998720
1998820,1998830
1998830,1998870
1998840,1998630
1998850,1998780
1998860,1998800
1998870,1998970
1998880,1998470
1998890,1999000
1998900,1998910
1998910,1998510
1998920,1998900
1998930,1998880
1998940,1998950
1998950,1998980
1998960,1998920
1998970,1999030
1998980,1999050
1998990,1998960
1999000,1999020
1999010,1999020
1999020,1999380
1999030,1999340
1999040,1999090
1999050,1999060
1999060,1999120
1999070,1999000
1999080,1998990
1999090,1999100
1999100,1999350
1999110,1999100
1999120,1999080
1999130,1999140
1999140,1999190
1999170,1999180
1999180,1999230
1999190,1998950
1999210,1999170
1999220,1999330
1999230,1999160
1999240,1999210
1999250,1999260
1999260,1999270
1999270,1999300
1999280,1999290
1999290,1998790
1999300,1999470
1999310,1999140
1999320,1999120
1999330,1999350
1999340,1999360
1999350,1999730
1999360,1999630
1999370,1999390
1999380,1999370
1999390,1999110
1999400,1999410
1999410,1999630
1999430,1999050
1999440,1999240
1999450,1999460
1999460,1999590
1999470,1999480
1999480,1999550
1999490,1999500
1999500,2000180
1999510,1999500
1999520,1999380
1999530,1999520
1999540,1999520
1999550,1999580
1999560,1999570
1999570,1999750
1999580,1999870
1999590,1999580
1999600,1999530
1999610,1999620
1999620,1999680
1999630,1999740
1999650,1999600
1999670,1999680
1999680,2000350
1999690,1999190
1999730,1999810
1999740,1999850
1999750,1999810
1999760,1999770
1999770,1999940
1999780,1999770
1999790,1999800
1999800,2000200
1999810,1999930
1999830,1999780
1999840,1999650
1999850,1999840
1999860,1999850
1999870,2000610
1999880,1999890
1999890,1999620
1999900,1999540
1999910,1999920
1999920,2000090
1999930,1999980
1999940,1999960
1999950,1999930
1999960,2000010
1999980,2000620
1999990,1999460
2000000,1999980
2000010,2000890
2000020,2000030
2000030,2000070
2000040,1999900
2000050,1998980
2000060,1999900
2000070,2000460
2000080,2000040
2000090,2000140
2000100,2000060
2000110,2000100
2000120,1999590
2000130,2000080
2000140,2000510
2000150,1999990
2000160,2000150
2000170,2000150
2000180,2000450
2000190,2000130
2000200,2000230
2000210,2000170
2000220,2000160
2000230,2000360
2000240,2000230
2000250,2000040
2000260,2000100
2000270,2000280
2000280,2000260
2000290,2000300
2000300,2000900
2000310,2000120
2000320,2000210
2000330,2000240
2000340,2000320
2000350,2000900
2000390,2000060
2000410,2000420
2000420,2000440
2000430,2000510
2000440,2000430
2000450,1999860
2000460,2000580
2000470,2000460
2000490,2000310
2000510,2000570
2000520,2000530
2000530,2000610
2000540,2000530
2000570,2000690
2000580,2000300
2000600,2000310
2000610,2001300
2000620,2000790
2000650,2000660
2000660,2000930
2000690,2000780
2000700,2000660
2000710,2000720
2000720,2000960
2000750,2000740
2000780,2001010
2000790,2000830
2000800,2000750
2000810,2000820
2000830,2000940
2000840,2000850
2000850,2001550
2000890,2000180
2000900,2001110
2000930,2001390
2000940,2001260
2000950,2000000
2000960,2001120
2000970,2000930
2000980,2000800
2000990,2000980
2001010,2000250
2001020,2001030
2001030,2001100
2001090,2001010
2001100,2001190
2001110,2001570
2001120,2001140
2001130,2000120
2001140,2001150
2001150,2001350
2001170,2001180
2001180,2001550
2001190,2001290
2001200,2001210
2001210,2001350
2001220,2001210
2001230,2001090
2001260,2001510
2001270,2001280
2001280,2001320
2001290,2000850
2001300,2001970
2001310,2000810
2001320,2001330
2001330,2001230
2001340,2000580
2001350,2001490
2001360,2001370
2001370,2001870
2001380,2001370
2001390,2001760
2001400,2001330
2001410,2001400
2001430,2000500
2001450,2001430
2001460,2001430
2001470,2001480
2001480,2001490
2001490,2001390
2001510,2001960
2001520,2000450
2001530,2001540
2001540,2001510
2001550,2002040
2001570,2001740
2001580,2001570
2001590,2001600
2001600,2001660
2001610,2001480
2001620,2001580
2001630,2001620
2001640,2001610
2001650,2001610
2001660,2000890
2001670,2001800
2001680,2001670
2001690,2001640
2001700,2001680
2001710,2001410
2001720,2001710
2001730,2001740
2001740,2001450
2001750,2001700
2001760,2001890
2001770,2001760
2001780,2001690
2001800,2001520
2001810,2001630
2001820,2001830
2001830,2002000
2001840,2001850
2001850,2002310
2001860,2001850
2001870,2001600
2001880,2001890
2001890,2002070
2001900,2001790
2001910,2001810
2001920,2001800
2001940,2001400
2001950,2001920
2001960,2002670
2001970,2002130
2001980,2001460
2002000,2002180
2002010,2001950
2002020,2001830
2002030,2001710
2002040,2002330
2002050,2001290
2002070,2001910
2002080,2002090
2002090,2002200
2002100,2002060
2002120,2001660
2002130,2002640
2002140,2002020
2002150,2002140
2002180,2001870
2002190,2001300
2002200,2002320
2002210,2001520
2002220,2002130
2002230,2002260
2002240,2002230
2002260,2002920
2002280,2001920
2002290,2002300
2002300,2002380
2002310,2002950
2002320,2002240
2002330,2002480
2002340,2002310
2002350,2002340
2002360,2002290
2002370,2002280
2002380,2002470
2002390,2002220
2002410,2002020
2002440,2002390
2002450,2002460
2002460,2002140
2002470,2002340
2002480,2002680
2002510,2001940
2002520,2001980
2002530,2002520
2002540,2002550
2002550,2002730
2002560,2002570
2002570,2002530
2002580,2002550
2002590,2002210
2002620,2002210
2002640,2002820
2002650,2002320
2002660,2002460
2002670,2002770
2002680,2002670
2002690,2002700
2002700,2002710
2002710,2002760
2002730,2002710
2002750,2002180
2002760,2002950
2002770,2003080
2002780,2002650
2002790,2002800
2002820,2003100
2002840,2002800
2002850,2002750
2002860,2002170
2002870,2002740
2002880,2002620
2002890,2002880
2002900,2002520
2002910,2002750
2002920,2003110
2002930,2002940
2002940,2003090
2002950,2002560
2002960,2001310
2002970,2002980
2002980,2003220
2002990,2002940
2003030,2002880
2003050,2003060
2003060,2003310
2003080,2003220
2003090,2002780
2003100,2002970
2003110,2002510
2003120,2002220
2003150,2003170
2003160,2003150
2003170,2003060
2003200,2002640
2003210,2003090
2003220,2003300
2003230,2003030
2003240,2003230
2003250,2003020
2003270,2002170
2003290,2002620
2003300,2004530
2003310,2003440
2003350,2003360
2003360,2003470
2003380,2003190
2003390,2002900
2003400,2002830
2003410,2003390
2003430,2003420
2003440,2003470
2003460,2002060
2003470,2003630
2003480,2002370
2003490,2003500
2003500,2003660
2003510,2003320
2003520,2003530
2003530,2003560
2003540,2003310
2003550,2003190
2003560,2004660
2003570,2003240
2003600,2003540
2003610,2003250
2003620,2002830
2003630,2003710
2003640,2003600
2003650,2003410
2003660,2004270
2003690,2003290
2003710,2003750
2003720,2003570
2003730,2003740
2003740,2003850
2003750,2004760
2003760,2003710
2003780,2002330
2003800,2003340
2003810,2002870
2003820,2003720
2003850,2003860
2003860,2004040
2003890,2003800
2003900,2003910
2003910,2004980
2003920,2003290
2003930,2003940
2003940,2004010
2003980,2003820
2004000,2003910
2004010,2004020
2004020,2005290
2004030,2003980
2004040,2004030
2004050,2004060
2004060,2004240
2004080,2004010
2004090,2004100
2004110,2003410
2004120,2004080
2004130,2002570
