UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
e1531,16839212,dam,Cocoplum Waterway,310010204,Myakka,3100102,Peace,31001,Peace-Tampa Bay,310,South Atlantic-Gulf Region,3
e1595,2000356,dam,Swift Creek-Suwannee River,311020108,Upper Suwannee,3110201,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
e2518,6331034,dam,Upper Alcovy River,307010307,Upper Ocmulgee,3070103,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
e2529,166757281,dam,Walnut Creek-Ocmulgee River,307010316,Upper Ocmulgee,3070103,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
e2784,2285261,dam,Cat Creek-Aucilla River,311010301,Aucilla,3110103,Aucilla-Waccasassa,31101,Suwannee,311,South Atlantic-Gulf Region,3
e2837,2010170,dam,Mill Creek-Alapaha River,311020201,Alapaha,3110202,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
e2892,166758611,dam,Rough Creek-Alapaha River,311020204,Alapaha,3110202,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
u16925,1978418,dam,Upper Fenholloway River,311010202,Econfina-Steinhatchee,3110102,Aucilla-Waccasassa,31101,Suwannee,311,South Atlantic-Gulf Region,3
u16926,1984352,dam,Mullet Creek-Dallus Creek Frontal,311010205,Econfina-Steinhatchee,3110102,Aucilla-Waccasassa,31101,Suwannee,311,South Atlantic-Gulf Region,3
u16937,2000064,dam,Swift Creek-Suwannee River,311020108,Upper Suwannee,3110201,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
u16938,2000064,dam,Swift Creek-Suwannee River,311020108,Upper Suwannee,3110201,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
u16951,2156906,dam,Ichetucknee River,311020606,Santa Fe,3110206,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
u16952,2156912,dam,Ichetucknee River,311020606,Santa Fe,3110206,Suwannee,31102,Suwannee,311,South Atlantic-Gulf Region,3
