UID_V6,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN,dam_NAME
480720,3675050,dam,Exploits,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,RATTLING LAKE
482720,3739010,dam,La Poile Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,ROSE BLANCHE FOREBAY
479720,3717190,dam,White Bear Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,BURNT DAM (MD-11)
478720,3717970,dam,White Bear Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,BURNT CANAL DYKE (MD-BC)
481720,3716800,dam,Grey,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,PUDOPS (MD-2)
483720,3708710,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,NORTH SALMON DAM (SD-2)
485720,3716490,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,UPPER SALMON P.C. DYKES (SD-PC)
486720,3716260,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,UPPER SALMON INTAKE DYKE (SD-IN)
484720,3716580,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,WEST SALMON DAM (SD-1)
489720,3727190,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,P.C. EMBANKMENT - BAY D'ESPOIR (LD-1)
487720,3728610,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,SALMON DAM (LD-5)
459720,3739500,dam,Southwestern Placentia Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,PARADISE RIVER (PD-1)
458720,3765160,dam,Southwestern Placentia Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,FALL POND
465720,3724940,dam,Trinity Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,SEAL COVE POND
464720,3725980,dam,Trinity Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,PITMAN'S POND
756720,3748220,dam,Conception Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,THOMAS POND (MANUELS)
460720,3753900,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,MOBILE BIG POND
461720,3755880,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,TORS COVE POND - EAST TORS COVE POND - WEST
463720,3758180,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,MOUNT CARMEL
462720,3759580,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,CAPE BROYLE POND
