UID_V6,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN,dam_NAME
833720,2017160,dam,East and West River of Pictou,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,MIDDLE RIVER
836720,2017870,dam,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,BRIERLY BROOK
807720,2039350,dam,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,UPPER LAKE FALLS
454720,2039540,dam,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,BIG FALLS
824720,2039620,dam,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,LOWER LAKE FALLS
453720,2040290,dam,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,DEEP BROOK
812720,2040340,dam,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,COWIE FALLS
831720,2029680,dam,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,BIG INDIAN
457720,2030910,dam,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,SANDY LAKE
821720,2025100,dam,East and West River Sheet Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,ANTI DAM
452720,2021570,dam,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean,TOM'S LAKE
448720,2004250,dam,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,CHETICAMP
449720,2005100,dam,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,SOUTH GISBORNE LAKE
450720,2005050,dam,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,WRECK COVE BROOK
811720,2005190,dam,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,SURGE LAKE
806720,2005280,dam,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,WRECK COVE POWER PROJECT
451720,2005560,dam,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,MCMILLAN
1067720,3793960,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,"RIVIÈRE-DES-PRAIRIES, BARRAGE DE LA (ÉVACUATEUR, REMBLAI AV ÎLE VISTA)"
695720,3799050,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,POINTE-DES-CASCADES
697720,3799300,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,BEAUHARNOIS
584720,3764350,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,MARCHES NATURELLES
585720,3771180,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,DONNACONA
726720,3662490,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,LAC A LA CHASSE
950720,3695860,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,"MITIS-2, BARRAGE DE LA"
1107720,3686730,dam, ,,,, ,St. Lawrence Drainage Area,Atlantic Ocean,SAULT-AUX-COCHONS
698720,3794360,dam,Lower Ottawa - South Nation,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,CARILLON
688720,3790240,dam,Rouge and Nord,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,CHUTES WILSON
747720,3789970,dam,Rouge and Nord,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE BELL
748720,3790670,dam,Rouge and Nord,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE BELL DÉVERSOIR
701720,3791350,dam,Rouge and Nord,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,JEAN MARCHAND
700720,3792550,dam,Rouge and Nord,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,AYERS 1
672720,3755750,dam,Upper Lièvre,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,MITCHINAMECUS
649720,3773000,dam,Upper Lièvre,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,KIAMIKA
1114720,3784710,dam,Lower Lièvre,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,RAPIDE-DES-CEDRES
987720,3789240,dam,Lower Lièvre,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,HIGH FALLS (1) - ÉVACUATEUR
707720,3794020,dam,Lower Lièvre,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,CHUTES DUFFERIN
706720,3794150,dam,Lower Lièvre,,,,Lower Ottawa,St. Lawrence Drainage Area,Atlantic Ocean,MASSON
691720,3799130,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,POINTE DU BUISSON
693720,3799440,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-TIMOTHÉE
692720,3799460,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CEDARS (CONCRETE DAM)
694720,3799350,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CEDARS (WING DAM)
985720,3800100,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,"COTEAU-1, BARRAGE DU (COTEAU DROIT)"
986720,3800030,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,"COTEAU-3, BARRAGE DU (COTEAU GAUCHE)"
1095720,3804240,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,R.H. SAUNDERS MAIN
