UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
u39958,166756489,dam,Twelvemile Creek-Keowee River,306010104,Seneca,3060101,Savannah,30601,Ogeechee-Savannah,306,South Atlantic-Gulf Region,3
u39959,9867166,dam,Grove Creek-Saluda River,305010903,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39960,9867496,dam,Grove Creek-Saluda River,305010903,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39961,9868506,dam,Grove Creek-Saluda River,305010903,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39962,9868528,dam,Grove Creek-Saluda River,305010903,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39963,9866910,dam,South Saluda River,305010902,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39964,9868792,dam,Grove Creek-Saluda River,305010903,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39965,9869956,dam,Little Saluda River,305010911,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39966,9869796,dam,Little River-Saluda River,305010909,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39967,9869612,dam,Twelvemile Creek-Saluda River,305010914,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39968,9869608,dam,Little Saluda River,305010911,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39969,9869768,dam,Little Saluda River,305010911,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39970,9871234,dam,Lower Reedy River,305010906,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39971,9870990,dam,Ninety Six Creek,305010907,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39972,9870990,dam,Ninety Six Creek,305010907,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
