FID,COMID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
14352318,14352318,outlet,Brunswick River-Atlantic Ocean,307020302,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
14353046,14353046,outlet,Doboy Sound-Atlantic Ocean,306020408,Ogeechee Coastal,3060204,Ogeechee,30602,Ogeechee-Savannah,306,South Atlantic-Gulf Region,3
14352922,14352922,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
14352934,14352934,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901295,9901295,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9902147,9902147,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901143,9901143,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901147,9901147,outlet,Brunswick River-Atlantic Ocean,307020302,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9902121,9902121,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9907127,9907127,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9903509,9903509,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901081,9901081,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9903507,9903507,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9902207,9902207,outlet,Altamaha River-Atlantic Ocean,307010605,Altamaha,3070106,Altamaha,30701,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9902873,9902873,outlet,Little Satilla River,307020303,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9902271,9902271,outlet,Brunswick River-Atlantic Ocean,307020302,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901787,9901787,outlet,Little Satilla River,307020303,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9903385,9903385,outlet,Little Satilla River,307020303,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901773,9901773,outlet,Little Satilla River,307020303,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901221,9901221,outlet,Brunswick River-Atlantic Ocean,307020302,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9902367,9902367,outlet,Brunswick River-Atlantic Ocean,307020302,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
9901313,9901313,outlet,Brunswick River-Atlantic Ocean,307020302,Cumberland-St. Simons,3070203,St. Marys-Satilla,30702,Altamaha-St. Marys,307,South Atlantic-Gulf Region,3
