FNODE_,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN
1994870,1994870,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1994810,1994810,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1995190,1995190,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1994980,1994980,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1995530,1995530,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1995620,1995620,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996050,1996050,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996090,1996090,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996390,1996390,outlet,Chaleur Bay - Gulf of St. Lawrence,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996290,1996290,outlet,Chaleur Bay - Southwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996800,1996800,outlet,Chaleur Bay - Southwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1997030,1997030,outlet,Chaleur Bay - Southwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1997490,1997490,outlet,Chaleur Bay - Southwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1997710,1997710,outlet,Chaleur Bay - Southwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998040,1998040,outlet,Chaleur Bay - Southwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998180,1998180,outlet,Nepisiguit,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
