FNODE_,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN
2025130,2025130,outlet,Gaspereau,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2025210,2025210,outlet,Gaspereau,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2025690,2025690,outlet,Gaspereau,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2025150,2025150,outlet,Avon,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2025290,2025290,outlet,Avon,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022350,2022350,outlet,Kennetcook,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022960,2022960,outlet,Kennetcook,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2024220,2024220,outlet,Kennetcook,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022170,2022170,outlet,Shubenacadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022210,2022210,outlet,Shubenacadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020620,2020620,outlet,Salmon (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020670,2020670,outlet,Salmon (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019080,2019080,outlet,Salmon (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020210,2020210,outlet,Economy,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020250,2020250,outlet,Economy,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020350,2020350,outlet,Economy,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020440,2020440,outlet,Economy,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019440,2019440,outlet,Economy,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019570,2019570,outlet,Minas Channel - Parrsboro,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020060,2020060,outlet,Minas Channel - Parrsboro,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020120,2020120,outlet,Minas Channel - Parrsboro,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020290,2020290,outlet,Minas Channel - Parrsboro,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020370,2020370,outlet,Minas Channel - Parrsboro,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020410,2020410,outlet,Minas Channel - Parrsboro,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2013860,2013860,outlet,Maccan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015150,2015150,outlet,Maccan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015250,2015250,outlet,Maccan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015440,2015440,outlet,Maccan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015450,2015450,outlet,Maccan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2012620,2012620,outlet,Tidnish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2013260,2013260,outlet,Tidnish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2013300,2013300,outlet,Tidnish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014170,2014170,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014200,2014200,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014330,2014330,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014340,2014340,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014720,2014720,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014740,2014740,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014750,2014750,outlet,Philip,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015350,2015350,outlet,John,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015360,2015360,outlet,John,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015610,2015610,outlet,John,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015800,2015800,outlet,John,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015810,2015810,outlet,John,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2016350,2016350,outlet,John,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2016450,2016450,outlet,East and West River of Pictou,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2016480,2016480,outlet,East and West River of Pictou,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2016090,2016090,outlet,French (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2017460,2017460,outlet,French (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2018150,2018150,outlet,French (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019750,2019750,outlet,French (N.S.),,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2014650,2014650,outlet,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015160,2015160,outlet,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2015750,2015750,outlet,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2017440,2017440,outlet,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2017450,2017450,outlet,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2018850,2018850,outlet,South and West Antigonish,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2017540,2017540,outlet,Tracadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2018030,2018030,outlet,Tracadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2018060,2018060,outlet,Tracadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2018660,2018660,outlet,Tracadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2018690,2018690,outlet,Tracadie,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042090,2042090,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042560,2042560,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042180,2042180,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042730,2042730,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042980,2042980,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042960,2042960,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043330,2043330,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043180,2043180,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043510,2043510,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043650,2043650,outlet,Tusket,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043820,2043820,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043960,2043960,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2044000,2044000,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043990,2043990,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2044040,2044040,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2044060,2044060,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2044100,2044100,outlet,Clyde,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042550,2042550,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043340,2043340,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043300,2043300,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043020,2043020,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043390,2043390,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043060,2043060,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043500,2043500,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043720,2043720,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043770,2043770,outlet,Roseway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2040710,2040710,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2040670,2040670,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2041710,2041710,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2041600,2041600,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042520,2042520,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042670,2042670,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2042700,2042700,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043490,2043490,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043540,2043540,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2043190,2043190,outlet,Mersey,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2038330,2038330,outlet,Medway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2039390,2039390,outlet,Medway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2039250,2039250,outlet,Medway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2040000,2040000,outlet,Medway,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2037780,2037780,outlet,LaHave,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2037770,2037770,outlet,LaHave,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2033710,2033710,outlet,Gold,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2034050,2034050,outlet,Gold,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2034750,2034750,outlet,Gold,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2034720,2034720,outlet,Gold,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2035290,2035290,outlet,Gold,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2036390,2036390,outlet,Gold,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2031760,2031760,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2031520,2031520,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2031780,2031780,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032570,2032570,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2033230,2033230,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032990,2032990,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2033550,2033550,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2034470,2034470,outlet,St. Margarets Bay,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2030750,2030750,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032140,2032140,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032850,2032850,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2033760,2033760,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2034090,2034090,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2033850,2033850,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2035120,2035120,outlet,Sackville,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2029070,2029070,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2030890,2030890,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2031770,2031770,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032450,2032450,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032590,2032590,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032660,2032660,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032700,2032700,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2032780,2032780,outlet,Musquodoboit,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2029510,2029510,outlet,Tangier,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2029930,2029930,outlet,Tangier,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2030070,2030070,outlet,Tangier,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2029920,2029920,outlet,Tangier,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2030550,2030550,outlet,Tangier,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2028200,2028200,outlet,East and West River Sheet Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2027670,2027670,outlet,East and West River Sheet Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2028870,2028870,outlet,East and West River Sheet Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2029250,2029250,outlet,East and West River Sheet Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2029320,2029320,outlet,East and West River Sheet Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2025950,2025950,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2026540,2026540,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2026850,2026850,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2025820,2025820,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2027900,2027900,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2028490,2028490,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2028140,2028140,outlet,Liscomb,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2026310,2026310,outlet,St. Marys,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2026380,2026380,outlet,St. Marys,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022490,2022490,outlet,Country Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2023780,2023780,outlet,Country Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2024760,2024760,outlet,Country Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2021230,2021230,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022230,2022230,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022620,2022620,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022260,2022260,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2023920,2023920,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2022990,2022990,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2024190,2024190,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2024440,2024440,outlet,New Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019060,2019060,outlet,St. Francis Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019610,2019610,outlet,St. Francis Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2019830,2019830,outlet,St. Francis Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2020130,2020130,outlet,St. Francis Harbour,,,,Southeastern Atlantic Ocean (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2010820,2010820,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2010930,2010930,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2011580,2011580,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2013240,2013240,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2013840,2013840,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2014160,2014160,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2014460,2014460,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2016770,2016770,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2017910,2017910,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2017920,2017920,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2018310,2018310,outlet,Inhabitants,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005830,2005830,outlet,Margaree,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007170,2007170,outlet,Margaree,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007830,2007830,outlet,Margaree,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2008760,2008760,outlet,Margaree,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2010500,2010500,outlet,Margaree,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2001420,2001420,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2001500,2001500,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2001790,2001790,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002270,2002270,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002420,2002420,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002830,2002830,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003180,2003180,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003670,2003670,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003790,2003790,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2004160,2004160,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005210,2005210,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005350,2005350,outlet,Chéticamp,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002060,2002060,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002170,2002170,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002800,2002800,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003190,2003190,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003420,2003420,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003870,2003870,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2004100,2004100,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2004430,2004430,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2004640,2004640,outlet,Wreck Cove,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005040,2005040,outlet,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005500,2005500,outlet,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005890,2005890,outlet,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006470,2006470,outlet,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006380,2006380,outlet,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007470,2007470,outlet,Indian,,,,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean
