143.11,Total functional habitat (sq_km),,,,,,
1045.92,Maximum habitat (sq_km),,,,,,
0,Channel width threshold (m),,,,,,
0,Slope threshold (m/m),,,,,,
0,Omit tidal reaches,,,,,,
UNIQUE_ID, type, catchmentID, habitat_sqkm, habitatSegment_sqkm, functional_habitatSegment_sqkm, PassageToHabitat, Decision
2685510,outlet,2685510,0.076142774,0.076142774,0.076142774,1,outlet
6724963,outlet,6724963,0.074616518,0.074616518,0.074616518,1,outlet
5846362,outlet,5846362,0.074040031,0.074040031,0.074040031,1,outlet
5860873,outlet,5860873,0.077495277,0.073403524,0.073403524,1,outlet
2692002,outlet,2692002,0.086663091,0.073039082,0.073039082,1,outlet
5844810,outlet,5844810,0.069805937,0.069805937,0.069805937,1,outlet
2683592,outlet,2683592,0.068691103,0.068691103,0.068691103,1,outlet
2676164,outlet,2676164,0.481479549,0.068117107,0.068117107,1,outlet
5863953,outlet,5863953,0.176606327,0.066813164,0.066813164,1,outlet
5203252,outlet,5203252,0.065046892,0.065046892,0.065046892,1,outlet
2677064,outlet,2677064,0.064575001,0.064575001,0.064575001,1,outlet
2683464,outlet,2683464,0.064375393,0.064375393,0.064375393,1,outlet
6722833,outlet,6722833,0.064028766,0.064028766,0.064028766,1,outlet
2683482,outlet,2683482,0.063822182,0.063822182,0.063822182,1,outlet
5860759,outlet,5860759,0.072784861,0.062753134,0.062753134,1,outlet
5878885,outlet,5878885,0.062240452,0.062240452,0.062240452,1,outlet
2683504,outlet,2683504,0.061960028,0.061960028,0.061960028,1,outlet
5878883,outlet,5878883,0.134048253,0.061672577,0.061672577,1,outlet
5860419,outlet,5860419,0.061620613,0.057528859,0.057528859,1,outlet
7734439,outlet,7734439,0.106291012,0.05752694,0.05752694,1,outlet
2678298,outlet,2678298,0.057446177,0.057446177,0.057446177,1,outlet
2677738,outlet,2677738,0.055860052,0.055860052,0.055860052,1,outlet
5876505,outlet,5876505,0.055450023,0.055450023,0.055450023,1,outlet
5846016,outlet,5846016,0.054695102,0.054695102,0.054695102,1,outlet
5846476,outlet,5846476,0.054528787,0.054528787,0.054528787,1,outlet
5203366,outlet,5203366,0.098545067,0.053456795,0.053456795,1,outlet
2682732,outlet,2682732,0.053362376,0.053362376,0.053362376,1,outlet
6719555,outlet,6719555,0.053252879,0.053252879,0.053252879,1,outlet
5863879,outlet,5863879,0.188899874,0.050256814,0.050256814,1,outlet
2683028,outlet,2683028,0.049354893,0.049354893,0.049354893,1,outlet
5881821,outlet,5881821,0.264666769,0.048698626,0.048698626,1,outlet
2683730,outlet,2683730,0.046719688,0.046719688,0.046719688,1,outlet
5876557,outlet,5876557,0.050948271,0.046362084,0.046362084,1,outlet
6141206,outlet,6141206,0.053917673,0.045091787,0.045091787,1,outlet
5846380,outlet,5846380,0.070502658,0.045059811,0.045059811,1,outlet
2677194,outlet,2677194,0.044465931,0.044465931,0.044465931,1,outlet
5846350,outlet,5846350,0.093664048,0.043319706,0.043319706,1,outlet
25077314,outlet,25077314,0.042053004,0.042053004,0.042053004,1,outlet
2676870,outlet,2676870,0.041590354,0.041590354,0.041590354,1,outlet
6181326,outlet,6181326,0.098208707,0.041383826,0.041383826,1,outlet
6129047,outlet,6129047,0.041216824,0.041216824,0.041216824,1,outlet
5205444,outlet,5205444,0.039762952,0.039762952,0.039762952,1,outlet
6720907,outlet,6720907,0.039105574,0.039105574,0.039105574,1,outlet
6130475,outlet,6130475,0.263355293,0.038665212,0.038665212,1,outlet
5860637,outlet,5860637,0.038457784,0.038457784,0.038457784,1,outlet
2676628,outlet,2676628,0.038442879,0.038442879,0.038442879,1,outlet
2676904,outlet,2676904,0.038415349,0.038415349,0.038415349,1,outlet
2677284,outlet,2677284,0.037322683,0.037322683,0.037322683,1,outlet
5879063,outlet,5879063,0.085592439,0.03696478,0.03696478,1,outlet
5878899,outlet,5878899,0.090452164,0.036937897,0.036937897,1,outlet
