90.69,Total functional habitat
162.25,Maximum habitat
0.00,Channel width threshold
0.0,Slope threshold
0,Omit tidal reaches
UNIQUE_ID,type,catchmentID,habitat_sqkm,habitatSegment_sqkm,functional_habitatSegment_sqkm,PassageToHabitat,Decision,HUC6_location,HUC10_location
3621860,outlet,3621860.0,0.33144307998199996,0.33144307998199996,0.33144307998199996,1.0,outlet,Gulf of St. Lawrence - Natashquan,Aguanus
3763720,outlet,3763720.0,0.34363640623300007,0.3186633094560001,0.3186633094560001,1.0,outlet, , 
1023720,dam,3639600.0,5.766219755391002,5.001505251619999,0.31259407822624996,0.0625,keep,Manicouagan and aux Outardes,Lower Manicouagan
2037770,outlet,2037770.0,0.311778078397,0.311491179217,0.311491179217,1.0,outlet,Southeastern Atlantic Ocean (N.S.),LaHave
3743150,outlet,3743150.0,0.7419582146670001,0.295627561252,0.295627561252,1.0,outlet,Southern Newfoundland,White Bear Bay
640720,dam,3666600.0,4.855151268099999,0.5904578551040001,0.29522892755200003,0.5,keep,Betsiamites - Coast,Lower Betsiamites
1050720,dam,2000620.0,2.421524859142,2.291643330566,0.28645541632075,0.125,keep,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - Verte
3684160,outlet,3684160.0,0.312030868474,0.283705831209,0.283705831209,1.0,outlet,???,Matane
951720,dam,3694000.0,0.5661763482570001,0.5661763482570001,0.28308817412850007,0.5,keep,Betsiamites - Coast,Portneuf
1115720,dam,3789190.0,1.4349731098039997,0.554740944518,0.277370472259,0.5,keep,Central St. Lawrence,Richelieu
2026310,outlet,2026310.0,0.270104107766,0.268938667664,0.268938667664,1.0,outlet,Southeastern Atlantic Ocean (N.S.),St. Marys
3658570,outlet,3658570.0,0.264846723932,0.264846723932,0.264846723932,1.0,outlet, , 
3693790,outlet,3693790.0,0.26322566393400004,0.26322566393400004,0.26322566393400004,1.0,outlet,Northern Newfoundland,Southern and Eastern Bonavista Bay
989720,dam,3626500.0,2.124777454249,2.097554381587,0.262194297698375,0.125,keep,Manicouagan and aux Outardes,Lower Manicouagan
676720,dam,3774010.0,0.5198498241039999,0.5198498241039999,0.25992491205199997,0.5,keep,Lower St. Lawrence,Batiscan
2039250,outlet,2039250.0,0.25807022842700006,0.25807022842700006,0.25807022842700006,1.0,outlet,Southeastern Atlantic Ocean (N.S.),Medway
3650070,outlet,3650070.0,0.25653593201799996,0.25653593201799996,0.25653593201799996,1.0,outlet,Northern Newfoundland,Southwestern Notre Dame Bay
435720,dam,2012990.0,4.145482274823,0.510308195145,0.2551540975725,0.5,keep,Saint John and Southern Bay of Fundy (N.B.),Central Saint John - Keswick
3616400,outlet,3616400.0,0.25145994823800005,0.25145994823800005,0.25145994823800005,1.0,outlet,Gulf of St. Lawrence - Natashquan,Aguanus
733720,dam,3623010.0,0.998842267196,0.998842267196,0.249710566799,0.25,keep,Moisie and St. Lawrence Estuary,Sainte-Marguerite
1995540,outlet,1995540.0,0.245912049096,0.245912049096,0.245912049096,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Chaleur Bay - Northwestern
3566330,outlet,3566330.0,0.241741356003,0.241741356003,0.241741356003,1.0,outlet,???,St-Augustin - Coast
1995770,outlet,1995770.0,0.23954344499100003,0.23954344499100003,0.23954344499100003,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Lower Restigouche - Nouvelle
2025290,outlet,2025290.0,0.35825332789100006,0.23812435065,0.23812435065,1.0,outlet,Bay of Fundy and Gulf of St. Lawrence (N.S.),Avon
3620540,outlet,3620540.0,0.233044559531,0.233044559531,0.233044559531,1.0,outlet, , 
3618930,outlet,3618930.0,0.23000051901399998,0.23000051901399998,0.23000051901399998,1.0,outlet,Gulf of St. Lawrence - Natashquan,Aguanus
3638910,outlet,3638910.0,0.222818700694,0.222818700694,0.222818700694,1.0,outlet,Northern Newfoundland,Southern and Eastern White Bay
2043960,outlet,2043960.0,0.22173791688200004,0.22173791688200004,0.22173791688200004,1.0,outlet,Southeastern Atlantic Ocean (N.S.),Clyde
1998190,outlet,1998190.0,0.22145948440600002,0.22117999896600002,0.22117999896600002,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Nepisiguit
585720,dam,3771180.0,0.440162386758,0.440162386758,0.220081193379,0.5,keep, , 
2007830,outlet,2007830.0,0.21852472977600002,0.21852472977600002,0.21852472977600002,1.0,outlet,Cape Breton Island,Margaree
3737580,outlet,3737580.0,0.21783002950199998,0.21783002950199998,0.21783002950199998,1.0,outlet,Southern Newfoundland,Fortune Bay
3689990,outlet,3689990.0,0.21755482339300003,0.21755482339300003,0.21755482339300003,1.0,outlet,Northern Newfoundland,Northwestern Bonavista Bay
705720,dam,3796730.0,0.8631957060750003,0.8631957060750003,0.21579892651875007,0.25,keep,Central St. Lawrence,Richelieu
697720,dam,3799300.0,0.49535839171100005,0.42338422418200006,0.21169211209100003,0.5,keep, , 
3618680,outlet,3618680.0,0.20674333741700002,0.20674333741700002,0.20674333741700002,1.0,outlet,Gulf of St. Lawrence - Romaine,Romaine
3624020,outlet,3624020.0,0.20359179415400003,0.20359179415400003,0.20359179415400003,1.0,outlet,Northern Newfoundland,Portland Creek Pond
3619970,outlet,3619970.0,0.20228822858699996,0.20228822858699996,0.20228822858699996,1.0,outlet,Gulf of St. Lawrence - Natashquan,Olomane
1993180,outlet,1993180.0,0.199949888031,0.19952669195400002,0.19952669195400002,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Chaleur Bay - Gulf of St. Lawrence
3665460,outlet,3665460.0,0.19577110462300001,0.19577110462300001,0.19577110462300001,1.0,outlet,???,Madeleine
487720,dam,3728610.0,0.9949154221660005,0.387701148926,0.193850574463,0.5,keep,Southern Newfoundland,Hermitage Bay
439720,dam,2005240.0,3.6193952351079997,0.7693112353630001,0.19232780884075001,0.25,keep,Saint John and Southern Bay of Fundy (N.B.),Central Saint John - Becaguimec
489720,dam,3727190.0,0.9910068557840005,0.383792582544,0.191896291272,0.5,keep,Southern Newfoundland,Hermitage Bay
3698170,outlet,3698170.0,0.18939116124800004,0.18939116124800004,0.18939116124800004,1.0,outlet,Northern Newfoundland,Port au Port Bay
3708070,outlet,3708070.0,0.186768706987,0.186768706987,0.186768706987,1.0,outlet,Betsiamites - Coast,Portneuf
3602860,outlet,3602860.0,0.18568881303999998,0.18568881303999998,0.18568881303999998,1.0,outlet,Northern Newfoundland,St. John Bay
3732260,outlet,3732260.0,0.181972106117,0.181972106117,0.181972106117,1.0,outlet,Southern Newfoundland,Fortune Bay
3686730,outlet,3686730.0,0.35922950882600013,0.35922950882600013,0.17961475441300007,0.5,outlet,Betsiamites - Coast,Portneuf
2025220,outlet,2025220.0,0.178974509755,0.178974509755,0.178974509755,1.0,outlet,Saint John and Southern Bay of Fundy (N.B.),Magaguadavic
3564980,outlet,3564980.0,0.169399761362,0.169399761362,0.169399761362,1.0,outlet,???,Saint-Paul - Coast
3720800,outlet,3720800.0,0.168715380135,0.168715380135,0.168715380135,1.0,outlet, , 
3733570,outlet,3733570.0,0.47675039422299986,0.16819723052499996,0.16819723052499996,1.0,outlet,Southern Newfoundland,White Bear Bay
675720,dam,3768250.0,0.332747790122,0.332747790122,0.166373895061,0.5,keep,Lower St. Lawrence,Sainte-Anne
757720,dam,3784870.0,0.33239032825200004,0.33239032825200004,0.16619516412600002,0.5,keep,Lower St. Lawrence,???
3749160,outlet,3749160.0,0.164257490105,0.164257490105,0.164257490105,1.0,outlet, , 
3731680,outlet,3731680.0,0.163459856274,0.163459856274,0.163459856274,1.0,outlet,Southern Newfoundland,St. George's Bay
3650740,outlet,3650740.0,0.16243614289199998,0.16243614289199998,0.16243614289199998,1.0,outlet,Gulf of St. Lawrence - Natashquan,Anticosti Island
1022720,dam,3639600.0,5.766219755391002,5.001505251619999,0.15629703911312498,0.03125,keep,Manicouagan and aux Outardes,Lower Manicouagan
3613080,outlet,3613080.0,0.15620725046799996,0.15620725046799996,0.15620725046799996,1.0,outlet, , 
1992900,outlet,1992900.0,0.154418880667,0.154418880667,0.154418880667,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Chaleur Bay - Gulf of St. Lawrence
479720,dam,3717190.0,0.30855316369799995,0.30855316369799995,0.15427658184899998,0.5,keep,Southern Newfoundland,White Bear Bay
1993040,outlet,1993040.0,0.162574082623,0.152148007702,0.152148007702,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Chaleur Bay - Gulf of St. Lawrence
3629720,outlet,3629720.0,0.14976156885000003,0.14976156885000003,0.14976156885000003,1.0,outlet, , 
2015150,outlet,2015150.0,0.149616770758,0.148862758998,0.148862758998,1.0,outlet,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maccan
3608420,outlet,3608420.0,0.147891003732,0.147891003732,0.147891003732,1.0,outlet,Northern Newfoundland,Portland Creek Pond
3620070,outlet,3620070.0,0.147160006441,0.147160006441,0.147160006441,1.0,outlet, , 
2043020,outlet,2043020.0,0.14402721426500004,0.14402721426500004,0.14402721426500004,1.0,outlet,Southeastern Atlantic Ocean (N.S.),Roseway
2012040,outlet,2012040.0,0.143660752042,0.143660752042,0.143660752042,1.0,outlet,Cape Breton Island,Mira
1994870,outlet,1994870.0,0.14280878391,0.14280878391,0.14280878391,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Chaleur Bay - Gulf of St. Lawrence
469720,dam,3666230.0,0.30832367089099993,0.285348563,0.1426742815,0.5,keep,Northern Newfoundland,Humber - Upper
3705760,outlet,3705760.0,0.140915265114,0.140915265114,0.140915265114,1.0,outlet,Southern Newfoundland,St. George's Bay
3610310,outlet,3610310.0,0.13872366734000002,0.13872366734000002,0.13872366734000002,1.0,outlet, , 
3620590,outlet,3620590.0,0.13391601386500002,0.13391601386500002,0.13391601386500002,1.0,outlet,Gulf of St. Lawrence - Natashquan,Olomane
2029070,outlet,2029070.0,0.131390231087,0.131390231087,0.131390231087,1.0,outlet,Southeastern Atlantic Ocean (N.S.),Musquodoboit
3654400,outlet,3654400.0,0.131052238586,0.131052238586,0.131052238586,1.0,outlet,Northern Newfoundland,Southwestern Notre Dame Bay
3725840,outlet,3725840.0,0.129985793808,0.129985793808,0.129985793808,1.0,outlet,Southern Newfoundland,Hermitage Bay
3674570,outlet,3674570.0,0.129874124594,0.129874124594,0.129874124594,1.0,outlet,Northern Newfoundland,Northwestern Bonavista Bay
3738640,outlet,3738640.0,0.12933460598500002,0.12933460598500002,0.12933460598500002,1.0,outlet,Southern Newfoundland,White Bear Bay
3686680,outlet,3686680.0,0.12868166355000002,0.12868166355000002,0.12868166355000002,1.0,outlet, , 
3591320,outlet,3591320.0,0.128626165579,0.128626165579,0.128626165579,1.0,outlet,???,???
2016450,outlet,2016450.0,0.159070631589,0.126909618208,0.126909618208,1.0,outlet,Bay of Fundy and Gulf of St. Lawrence (N.S.),East and West River of Pictou
3575390,outlet,3575390.0,0.124591150522,0.124591150522,0.124591150522,1.0,outlet,Northern Newfoundland,Hare Bay
3736490,outlet,3736490.0,0.12148426451600002,0.12148426451600002,0.12148426451600002,1.0,outlet,Southern Newfoundland,Grey
3714410,outlet,3714410.0,0.1208765292,0.1208765292,0.1208765292,1.0,outlet,Southern Newfoundland,St. George's Bay
2020670,outlet,2020670.0,0.12075000832899999,0.12075000832899999,0.12075000832899999,1.0,outlet,Bay of Fundy and Gulf of St. Lawrence (N.S.),Salmon (N.S.)
3749860,outlet,3749860.0,0.11994626658400001,0.11994626658400001,0.11994626658400001,1.0,outlet,Lower St. Lawrence,Lower St. Lawrence - Loup
3705730,outlet,3705730.0,0.11898675186699997,0.11898675186699997,0.11898675186699997,1.0,outlet,Northern Newfoundland,Southern and Eastern Bonavista Bay
3654800,outlet,3654800.0,0.11887973235799999,0.11887973235799999,0.11887973235799999,1.0,outlet,Northern Newfoundland,Southwestern Notre Dame Bay
3620860,outlet,3620860.0,0.118195660664,0.118195660664,0.118195660664,1.0,outlet, , 
1994320,outlet,1994320.0,0.11817786145499998,0.11817786145499998,0.11817786145499998,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Chaleur Bay - Gulf of St. Lawrence
3728920,outlet,3728920.0,0.117618472475,0.117618472475,0.117618472475,1.0,outlet,Southern Newfoundland,Northwestern Placentia Bay
3612560,outlet,3612560.0,0.11567866335600002,0.11567866335600002,0.11567866335600002,1.0,outlet,Northern Newfoundland,Western White Bay
