COMID,downkm,,Q,W,DA
1993970,4.824715774,9.649431547,0.437004281,4.627440953,13.7766092
1993980,16.48902425,32.97804849,3.390020337,12.88840551,106.831379
1994000,5.60036264,11.20072528,0.560292272,5.239687142,17.66248707
1994010,18.51830543,37.03661085,4.113671261,14.19753119,129.6316328
1994020,17.56342314,7.025369256,3.766186205,13.58466503,118.6834315
1994030,9.40041547,18.80083094,1.328539407,8.068359867,41.87397465
1994040,5.03085047,10.06170094,0.468570065,4.791652449,14.7715387
1993990,5.080297113,2.032118845,0.47627245,4.830874669,15.01431016
1994060,5.79317489,11.58634978,0.59281659,5.389620852,18.68758423
1994070,14.90502315,5.962009262,2.864730995,11.84786136,90.28041275
1994080,21.34485703,8.53794281,5.212789153,15.98207335,164.2604696
1993770,43.16723705,17.26689482,16.86321781,28.74539394,531.2654732
1993910,103.1803863,6.246374725,72.07833725,59.4292733,2270.190851
1994110,8.413518107,2.001704781,1.104271914,7.355904008,34.80648938
1993950,641.5937383,7.87653235,1516.494801,272.5953874,47737.58411
1994130,6.94557839,13.89115678,0.80216968,6.269474803,25.28572551
1993880,66.32848422,15.23205851,34.50740747,41.12010416,1086.994912
1993440,73.81149439,21.29605119,41.2383249,44.95195124,1298.979412
1994160,6.392922755,12.78584551,0.698617251,5.850832874,22.02212812
1994140,134.9883578,0.231220549,112.8086148,74.34797996,3552.751786
1994180,5.559499287,3.706332858,0.553493835,5.207801638,17.44821347
1994190,8.248781495,16.49756299,1.068464524,7.235659035,33.67804547
1993800,39.40362813,15.76145125,14.48428881,26.6407611,456.3312432
1994210,0.1879149,0.375829799,0.001953582,0.309395412,0.061646888
1994220,5.92600246,11.85200492,0.615647723,5.492425549,19.40716677
1994240,4.149258265,8.298516529,0.339856109,4.080802535,10.71448691
1994260,7.954972145,15.90994429,1.005779924,7.020200587,31.70256926
1994200,67.56465435,3.012566234,35.58613455,41.75788061,1120.968967
1994280,8.484462425,16.96892485,1.119837664,7.407566776,35.29703064
1994250,5.257682905,2.103073162,0.504315782,4.9710636,15.89820196
1994300,10.32616514,20.65233028,1.553727077,8.725401239,48.97024103
1994170,138.3982443,4.738788113,117.5988268,75.91009495,3703.585192
1994270,76.61538474,3.038629613,43.88267173,46.37079808,1382.259092
1994330,11.71551507,23.43103014,1.917624383,9.693482076,60.4372373
1994340,26.90800903,53.81601806,7.669214407,19.38534255,241.648222
1994360,5.454187075,10.90837415,0.536126496,5.125446155,16.9008264
1994370,5.230904145,10.46180829,0.500041182,4.949951303,15.76347233
1994380,5.39435302,10.78870604,0.526358004,5.078537407,16.59293984
1994390,9.567789515,19.13557903,1.368205302,8.187921581,43.12396796
1994120,784.6834786,8.751304295,2121.260754,322.4000263,66770.91654
1994290,11.72753267,2.210160015,1.920904611,9.701769217,60.54060072
1994420,4.201193295,8.402386589,0.346976883,4.123332059,10.93893945
1994310,262.2715841,2.187483164,341.3474219,129.3291292,10748.12456
1994450,4.759541688,9.519083376,0.427208014,4.575280614,13.46783573
1994440,286.7410822,3.917260763,396.0718779,139.3108826,12470.91875
1994470,7.87432881,15.74865762,0.988840605,6.960832541,31.16873071
1994100,194.5243241,13.32084327,207.4234374,100.8154176,6531.799183
1994090,51.75768614,16.38308881,22.82098526,33.43992042,718.9221873
1994350,15.34739905,6.138959618,3.007864708,12.14023767,94.79036092
1994460,325.9675725,4.025026196,490.4559786,155.0236851,15442.1501
1994050,32.12535327,15.99791859,10.30513725,22.47113093,324.6858896
1994520,5.87431735,11.7486347,0.606722785,5.452468841,19.12587472
1994530,13.72716995,27.45433989,2.497387049,11.06218629,78.7057153
1994540,4.143851288,8.287702575,0.339118161,4.076369692,10.69122614
1994550,7.706184063,3.082473625,0.953892763,6.836720369,30.06735265
1994560,8.60163944,17.20327888,1.145737765,7.492739851,36.11324737
1994400,946.9163942,6.056726961,2901.681946,377.070836,91331.08208
1994580,6.361817515,12.72363503,0.692960028,5.827095448,21.84383053
1994590,7.546271085,15.09254217,0.921124271,6.718265346,29.03464999
1994610,4.709326049,9.418652098,0.419720869,4.535010759,13.23184378
1994480,280.5155432,2.983171935,381.8409605,136.7852589,12022.91608
1994640,72.70457298,8.214422495,40.21255905,44.38936126,1266.674221
1994650,6.18757501,12.37515002,0.661611348,5.693764665,20.85581562
1994660,5.05117343,10.10234686,0.471729724,4.807780825,14.87112805
1994670,13.89631003,27.79262006,2.548893964,11.17567914,80.32867213
1994680,13.73311663,5.493246651,2.499190806,11.06618044,78.76255083
1994320,95.87854386,7.777723388,63.77756502,55.90259999,2008.792632
1994700,7.929576615,15.85915323,1.000433119,7.001515751,31.53406615
1994720,7.53007477,15.06014954,0.917831006,6.7062448,28.93086203
1994620,28.09845698,11.23938279,8.243126994,20.09759246,259.7281817
1994730,77.76137278,5.266991212,44.98231099,46.94819739,1416.890289
1994410,33.03531868,10.52159065,10.79631312,23.00042049,340.1586091
1994740,6.026402525,12.05280505,0.6331334,5.569877609,19.95827011
1994750,6.618411385,13.23682277,0.740175705,6.022342531,23.33190982
1994710,111.017616,6.369855206,81.43415675,63.1686131,2564.806908
1994490,107.2996905,4.508775729,76.93889763,61.40037446,2423.25138
1994790,24.51016616,49.02033231,6.564150332,17.93441848,206.8347015
1994800,9.284830305,18.56966061,1.301420131,7.985586165,41.01935971
1994820,3.556828064,7.113656128,0.262881557,3.589038353,8.288128748
1994830,2.107883701,4.215767401,0.109898223,2.32056306,3.465414629
1994850,9.144686845,18.28937369,1.268839715,7.884994993,39.99264261
1994150,156.9375565,19.92395612,145.0157025,84.29572601,4566.86319
1994510,80.38809912,5.511966254,47.54369967,48.26635768,1497.556117
1994760,149.6751314,2.415541151,134.002461,81.03160241,4220.091996
1994880,2.134503557,4.269007114,0.112221538,2.344963825,3.538662263
1994890,11.50355881,23.00711762,1.860139936,9.547086302,58.62583701
1994770,135.8703871,5.520803859,114.0400434,74.75267303,3591.526915
1994500,368.3668505,8.323058181,601.3509102,171.6572008,18933.01494
1994910,6.91398094,13.82796188,0.796095527,6.245692981,25.09429241
1994870,170.5247037,3.432369881,166.5435225,90.33621978,5244.690913
1994570,1071.0327,8.044571215,3563.029866,417.8378435,112143.0106
1994950,2.898924202,5.797848404,0.186933508,3.026506551,5.894000585
1994970,5.68037429,11.36074858,0.573699791,5.302008088,18.08506474
1994990,34.81333674,10.227841,11.7822521,24.0276997,371.216675
1994840,14.06498173,5.625992693,2.600676369,11.28862888,81.96030362
1995000,6.127981615,12.25596323,0.651023261,5.648020874,20.52210948
1994810,50.52312443,20.20924977,21.92080378,32.77376062,690.5690602
1994430,82.1183969,32.84735876,49.26183238,49.13074177,1551.664839
1995010,12.25460017,4.388810363,2.066964356,10.06385878,65.14306477
1995030,6.921344456,0.54820202,0.797509405,6.251236746,25.13885224
1994940,1228.811063,1.81844949,4480.329904,468.5468656,141008.3521
1995050,6.49659621,12.99319242,0.717605343,5.92981128,22.62057014
1995060,3.54461539,1.417846156,0.261378603,3.578763967,8.240752109
1995020,157.0229716,4.813821027,145.1472968,84.33396436,4571.006639
1995070,9.550954015,19.10190803,1.364194361,8.175911184,42.99757127
1995040,1443.713982,1.515974138,5861.292688,535.9135581,184462.1446
1995090,20.2840889,40.56817779,4.788136669,15.31726793,150.8815305
1994600,64.1207039,12.77544849,32.61402846,39.97608528,1027.363271
1995120,9.09474612,18.18949224,1.257309533,7.849087023,39.62928713
1995130,9.7256294,19.4512588,1.406038279,8.300353949,44.31619433
1995080,1482.656881,1.201022091,6127.21454,547.9356828,192829.495
1994630,327.9535944,12.14889391,495.4474228,155.8105379,15599.27876
1995160,12.69211864,25.38423728,2.191440553,10.36246048,69.06536683
1995170,4.985432585,3.323621723,0.461539588,4.755569349,14.5499445
1995180,9.70906917,19.41813834,1.402049549,8.288572127,44.1904982
1995190,7.307256605,14.61451321,0.873005192,6.54043228,27.51815986
1995150,442.1138143,7.263081116,815.1614456,199.8572261,25663.25029
1995210,8.400305465,16.80061093,1.101382591,7.346274358,34.71543471
1995140,1518.229779,3.297890013,6374.232979,558.8715559,200601.9824
1995230,11.39158835,22.7831767,1.830055709,9.469568615,57.6778448
1995100,102.2657495,4.137616285,71.01638546,58.98985411,2236.749422
1995240,117.2614093,0.34266847,89.21130207,66.11621436,2809.705625
1994960,29.32633552,19.55089035,8.85231913,20.826993,278.9193045
1995260,7.869067355,15.73813471,0.987739428,6.956955653,31.1340273
1995280,8.693322635,17.38664527,1.166167774,7.55924738,36.75707711
1995220,1.568252626,3.136505252,0.067126936,1.813620646,2.116897774
1995225,1606.697841,2.147953097,7005.362922,585.8863227,220460.3781
1995300,0.880151204,1.760302408,0.025628035,1.120613099,0.808339183
1995320,6.80075249,13.60150498,0.774481019,6.160322227,24.4130871
1995330,0.7310531,1.4621062,0.018807937,0.95999423,0.593258091
1995340,7.380476485,14.76095297,0.887636204,6.595011294,27.97926302
1994860,334.3205434,15.93831889,511.5853965,158.3277753,16107.29374
1995310,9.244316742,3.697726697,1.291967627,7.956532772,40.72148042
1995250,159.5592175,3.308038797,149.0764748,85.46781421,4694.722504
1995380,8.27251198,16.54502396,1.073593479,7.253004925,33.83968117
1995390,8.71426884,17.42853768,1.17085553,7.574425454,36.90480637
1995410,5.749918515,11.49983703,0.585456118,5.356057297,18.45559873
1995430,6.236046655,12.47209331,0.670273743,5.730917327,21.12882875
1994900,622.2662157,17.19100836,1441.108482,265.7335425,45364.92221
1995450,15.25731493,30.51462985,2.9784912,12.08081408,93.86484495
1995360,16.79050959,3.999205596,3.493975006,13.08452427,110.1067551
1995470,8.12632116,16.25264232,1.042153231,7.146013455,32.84885982
1995290,1666.405437,5.57367781,7444.691308,603.9783722,234283.5787
1995420,17.22989622,6.891958489,3.647720114,13.36930386,114.9508831
1995500,5.18691375,10.3738275,0.493050789,4.915230275,15.54314414
1995350,457.009052,6.302233888,861.4557148,205.4539608,27120.43605
1994980,40.72989563,16.29195825,15.3060729,27.38608355,482.2169729
1995530,9.167756225,18.33551245,1.274180125,7.901571117,40.16093698
1995510,506.9757595,1.799968853,1024.122633,224.0134126,32240.52885
1995400,17.0764656,6.830586239,3.593732575,13.26999986,113.2498736
1995560,10.80375581,21.60751162,1.675357272,9.060491507,52.80305521
1995200,529.475022,12.24129139,1101.003555,232.2696153,34660.37496
1995590,6.690357995,13.38071599,0.753637307,6.07686005,23.75617104
1995460,25.08758023,4.59652449,6.823953955,18.2858892,215.0195454
1995620,12.13115477,24.26230954,2.032371912,9.979289739,64.05303353
1995600,32.85478175,1.744829575,10.69813699,22.89560466,337.0659356
1995640,8.49443939,16.98887878,1.122033678,7.414826377,35.36623603
1995370,196.2746892,12.34750559,210.54411,101.5709673,6630.051869
1995670,15.45102379,30.90204758,3.041795867,12.20852151,95.85947966
1995270,30.38331377,12.15332551,9.39055125,21.45080444,295.8748056
1995660,277.0892714,1.111591731,374.0979849,135.3912894,11779.15867
1995680,333.195761,0.535682468,508.7194276,157.8836659,16017.07476
1995700,9.62820191,19.25640382,1.382636894,8.230990694,43.57874978
1995540,525.0999196,5.648849806,1085.879526,230.6688032,34184.34486
1995720,10.99452942,21.98905883,1.724962981,9.193649224,54.36621715
1995740,12.5540758,25.10815159,2.151852422,10.26843555,67.81793115
1995580,661.265936,6.514708983,1594.796799,279.5443492,50201.98983
1995440,903.4980412,9.847463935,2683.298445,362.603949,84458.60226
1995480,58.7675109,20.79978463,28.20266731,37.17432849,888.4257389
1995690,339.3363209,3.174517901,524.4439735,160.3051924,16512.07297
1995780,2.891195508,5.782391016,0.186103456,3.019779683,5.867833785
1995650,22.67477123,9.069908491,5.765385463,16.80785196,181.6700664
1995810,6.32177209,12.64354418,0.685703946,5.796506995,21.61514165
1995790,4.069665202,2.713110135,0.329058137,4.015451249,10.37412452
1995770,369.0368374,5.434228647,603.175279,171.9173891,18990.44327
1995750,738.1863545,5.677316123,1915.892135,306.3963358,60307.63445
1995870,9.072040645,18.14408129,1.252081287,7.83275067,39.46452703
1995760,1180.072855,6.64937286,4188.035118,453.0052106,131810.6286
1995880,1309.923946,0.376639495,4984.108962,494.1875546,156860.6621
1995730,17.73656217,11.82437478,3.828279843,13.69619335,120.6398268
1995850,804.879824,2.808668148,2213.053721,329.3017345,69659.75234
1995910,5.237643085,10.47528617,0.501115524,4.955265955,15.79733418
1995930,7.200845335,14.40169067,0.851915612,6.460949232,26.85350944
1995940,11.24860836,4.499443346,1.791925727,9.370398104,56.47631656
1995960,6.2252631,12.4505262,0.66834271,5.722656094,21.06796832
1995550,54.30594033,17.98906358,24.72457434,34.80666808,778.8791144
1995890,1317.7338,0.930769066,5033.743285,496.6421458,158422.4786
1995980,0.757921576,1.515843152,0.019974318,0.989313704,0.630042392
1996010,6.12866463,12.25732926,0.651144227,5.648545574,20.52592196
1995630,45.63966745,20.33528267,18.50385475,30.11127501,582.9430071
1996020,9.546028455,19.09205691,1.363021772,8.172396638,42.96061947
1996050,7.16705783,14.33411566,0.845262508,6.435671128,26.64383237
1995970,1435.884943,1.445093145,5808.403162,533.4901639,182797.9438
1995920,30.73225301,8.489653086,9.571018943,21.65594441,301.5598971
1996080,6.459252375,12.91850475,0.710742242,5.901387112,22.40426815
1996100,3.773112623,7.546225246,0.290065999,3.770044293,9.145037787
1996110,5.627468875,11.25493775,0.564820241,5.260816646,17.8051996
1995990,20.21563141,8.086252564,4.761228863,15.2741682,150.0337763
1996130,10.5663129,21.1326258,1.614428185,8.894210537,50.88306257
1996150,10.0947682,20.1895364,1.496121721,8.56212382,47.1549608
1996160,8.543406405,17.08681281,1.132836668,7.45043601,35.70668216
1996170,1.825627988,3.651255976,0.086479385,2.058516418,2.727067299
1996180,9.782594695,19.56518939,1.419793652,8.340856606,44.7496644
1995950,83.66444281,5.014567571,50.81758588,49.90051811,1600.6595
1996090,21.61200945,8.644803779,5.322003109,16.14862695,167.7012904
1995900,864.0921037,6.527692841,2491.0583,349.3735203,78408.76488
1996210,1.322043767,2.644087534,0.050495783,1.57298868,1.592503626
1996230,1.943955559,3.887911117,0.096023698,2.169138353,3.027983539
1996250,6.3856177,12.7712354,0.697287001,5.845259879,21.9802029
1996260,7.45241765,14.9048353,0.902106308,6.648549397,28.43529377
1996290,6.208092361,0.273038765,0.665272512,5.709496746,20.97120478
1996060,1523.699125,6.686401021,6412.55802,560.5491441,201807.8831
1996140,6.256734232,2.502693693,0.673984548,5.746759335,21.24578218
1996310,8.28756513,16.57513026,1.076852062,7.264003789,33.94237326
1996120,35.91869726,2.382458,12.41245573,24.66192066,391.0684728
1996330,8.48120195,3.39248078,1.119120379,7.405194028,35.27442605
1996340,4.553679734,3.035786489,0.396851997,4.409733308,12.51102092
1996350,1.110046458,2.220092916,0.037733059,1.359749941,1.190063413
1996360,5.918799808,6.986741072,0.614400849,5.486860816,19.36786843
1996270,1697.865325,2.441982488,7680.456083,613.4674792,241701.713
1996380,1.819071954,1.212714636,0.085962306,2.05235304,2.710764514
1996390,13.89317828,27.78635655,2.547936454,11.17357983,80.29850159
1996410,2.828518639,5.657037277,0.17942677,2.965115803,5.657355372
1996420,2.905309814,5.810619628,0.18762043,3.032062181,5.915655275
1996430,7.493363125,14.98672625,0.910383759,6.678982271,28.69616014
1996220,11.5220092,4.60880368,1.865116009,9.559847512,58.78263912
1996470,1.178538115,2.35707623,0.04169348,1.429328697,1.314947557
1996300,14.42927171,2.945664624,2.713930644,11.53180825,85.5288555
1996190,103.4924389,4.86105145,72.44209198,59.57904419,2281.645662
1996440,0.334148318,0.222765545,0.005099705,0.499885552,0.160897611
1996480,21.97980128,0.372736022,5.473837766,16.37736397,172.4848691
1996590,5804.906962,0.069234296,59619.04502,1709.190805,1875502.147
1996240,24.9206572,10.33899124,6.748433661,18.18442326,212.6403625
1996610,5776.753031,0.525594656,59137.80584,1702.278616,1860365.988
1996570,5525.616746,4.689224067,54914.50036,1640.369019,1727531.644
1996370,1768.538934,3.974049185,8220.75852,634.6787908,258701.7078
1996630,24.78156685,0.782748707,6.685762684,18.09978927,210.6659797
1996640,0.713211323,1.426422646,0.018048998,0.940425918,0.569323123
1996620,1878.608878,1.567182618,9091.248744,667.4362804,286090.2641
1996700,5184.177851,6.450452415,49375.29363,1555.438648,1553305.845
1996710,0.362265598,0.724531196,0.005834941,0.534707503,0.18409011
1996730,0.13207164,0.264143279,0.001085245,0.230601417,0.034249427
1996690,1922.784833,2.156864988,9450.412543,680.4926264,297390.6275
1996740,0.131004289,0.262008577,0.001070664,0.229047033,0.033789345
1996780,5122.161017,1.119840156,48394.59276,1539.913973,1522459.304
1996760,1982.272976,0.348712833,9942.825089,697.9960096,312883.2682
1996790,0.204248533,0.408497065,0.002244777,0.33165357,0.070834024
1996800,32.44006861,5.331146322,10.4739769,22.65446684,330.0045867
1996810,19.79266518,3.065018211,4.596327254,15.00733272,144.8383872
1996560,123.5648482,6.117458526,97.34803201,69.06557441,3065.923374
1996830,21.30532147,3.387669591,5.196703749,15.95739589,163.7536927
1996720,17.99782286,7.199129145,3.922744356,13.86414344,123.616126
1996860,0.097181738,0.194363475,0.000650792,0.178574322,0.020540327
1996870,3048.79986,3.303618652,20378.92231,999.2833399,641206.1276
1996880,1.888940133,3.777880266,0.091536445,2.117849331,2.886508653
1996890,0.096982624,0.193965248,0.00064857,0.178269311,0.020470232
1996900,9.967516494,5.528426387,1.464814999,8.472067926,46.16840714
1996910,13.15773267,26.31546534,2.327089762,10.67836122,73.33969003
1996650,9.353202308,6.235468205,1.317434942,8.034569818,41.52403792
1996850,29.11350215,0.633971149,8.74548222,20.70093304,275.553684
1996930,10.13988567,4.05595427,1.507285147,8.594007923,47.50674753
1996940,5.854967965,0.898890223,0.603394978,5.437495188,19.02099024
1996920,42.97656924,0.882347901,16.7392358,28.63952783,527.3601956
1996960,0.689261126,0.459507417,0.017049988,0.914029221,0.537816664
1996980,3.364881015,2.24325401,0.239660698,3.426860695,7.556147355
1996320,62.51905824,14.14858572,31.26734657,39.14204877,984.9493835
1997000,2933.33217,4.645546175,19108.62804,967.6377286,601244.3211
1997010,12.72649773,25.45299546,2.201344711,10.38585051,69.37744965
1997020,11.13292859,7.421952391,1.761311698,9.290009322,55.51162312
1997030,46.15888045,2.810670427,18.85609861,30.39652664,594.0380354
1997040,3.881508702,7.763017404,0.304090079,3.860105422,9.587099622
1996460,27.43593067,18.00143189,7.921679096,19.70183432,249.6016423
1997060,2303.266428,8.574822566,12769.26956,791.008349,401808.4267
1997070,2864.791913,2.702754428,18370.14054,948.7554407,578012.2462
1997080,0.824054847,1.648109693,0.022963451,1.060758743,0.724309301
1997100,383.7209767,0.191219537,643.7129084,177.6004857,20266.49764
1997110,2.500107932,5.000215864,0.146061434,2.675258917,4.605511403
1996600,77.50154807,22.23342819,44.73204059,46.81741117,1409.008478
1996950,47.80270143,5.240524871,19.98874505,31.29614205,629.7140483
1997130,3.32189555,6.6437911,0.234578782,3.390333367,7.395950587
1997120,216.447999,0.450877388,247.8407536,110.200712,7804.297275
1997150,9.262878815,18.52575763,1.296295052,7.969846772,40.85785178
1997160,47.60898505,0.88607102,19.85389614,31.19039774,625.466607
1997050,1818.648631,23.43075054,8612.704771,649.6326145,271033.7194
1997170,1597.161483,8.396415911,6936.187229,582.9864272,218283.7932
1997180,1.032595812,2.065191624,0.033447235,1.280200964,1.054915637
1996820,183.491679,25.67715063,188.1857818,96.02657605,5926.105947
1997200,1478.606326,6.18145669,6099.335579,546.6877019,191952.2741
1997210,0.768988236,1.537976472,0.020462865,1.001339302,0.645449632
1997190,3.049649693,2.033099795,0.203415006,3.157108689,6.413563532
1997090,13.31302324,8.875348828,2.373053632,10.7833032,74.7880069
1997250,2.146373469,4.292746937,0.113263775,2.355827873,3.57152101
1997260,1.430979825,2.86195965,0.057620812,1.68030348,1.817165038
1997280,350.3781843,9.499195012,553.1992547,164.6413177,17417.26318
