UNIQUE_ID,COMID,type,TERMCODE,TERMNAME_HUC10,TERMNAME_HUC8,TERMNAME_HUC6,TERMNAME_HUC4,TERMNAME_HUC2,damName,latitude,longitude
91996010,91996010,outlet,NICN910000000,Lower Restigouche - Nouvelle,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.12422943,-66.68022156
91996020,91996020,outlet,NICN910000000,Chaleur Bay - Northwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.23016357,-65.64723206
91996050,91996050,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.15315628,-65.20308685
91996090,91996090,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.05012262,-65.25104407
91996290,91996290,outlet,NICN910000000,Chaleur Bay - Southwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.02504636,-66.37280947
91996390,91996390,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.16480637,-65.22278595
91996480,91996480,outlet,NICN910000000,Lower Restigouche - Nouvelle,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48,-66.778862
91996590,91996590,outlet,NICN910000000,Lower Restigouche - Nouvelle,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.99584129,-66.77898093
91996660,91996660,outlet,NICN910000000,Lower Restigouche - Nouvelle,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.98642731,-66.78469086
91996730,91996730,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.97237015,-64.4813385
91996740,91996740,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.9703344,-64.48352554
91996790,91996790,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.96805573,-64.54803467
91996800,91996800,outlet,NICN910000000,Chaleur Bay - Southwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.96595304,-66.34766708
91996860,91996860,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.94216557,-64.47384763
91996890,91996890,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.94049454,-64.4750061
91997030,91997030,outlet,NICN910000000,Chaleur Bay - Southwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.89774225,-66.0285088
91997490,91997490,outlet,NICN910000000,Chaleur Bay - Southwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.76842482,-66.50284953
91997710,91997710,outlet,NICN910000000,Chaleur Bay - Southwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.75074005,-66.06738281
91997940,91997940,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.6553154,-64.78033447
91997950,91997950,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.65428074,-64.78238856
91998040,91998040,outlet,NICN910000000,Chaleur Bay - Southwestern,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.64229125,-65.68679061
91998170,91998170,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.61744308,-65.3661499
91998180,91998180,outlet,NICN910000000,Nepisiguit,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.61615372,-65.64385986
91998190,91998190,outlet,NICN910000000,Nepisiguit,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.61491591,-65.64038076
91998280,91998280,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.58821869,-64.84624481
91998290,91998290,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.58739272,-64.84540355
91998370,91998370,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.56409848,-64.85356182
